,task_type,task_name,digest,lang_train,lang_pred,model_id,model_type,score
0,token-classification,udpos28,493de58c,en,en,xlm-roberta-base,ft,96.2934190082427
1,token-classification,udpos28,493de58c,en,nl,xlm-roberta-base,ft,90.09975282485875
2,token-classification,udpos28,493de58c,en,de,xlm-roberta-base,ft,89.34828975027973
3,token-classification,udpos28,493de58c,en,it,xlm-roberta-base,ft,87.35793461484495
4,token-classification,udpos28,493de58c,en,fr,xlm-roberta-base,ft,87.65133171912834
5,token-classification,udpos28,493de58c,en,es,xlm-roberta-base,ft,90.12817578393225
6,token-classification,udpos28,493de58c,en,ru,xlm-roberta-base,ft,90.88195965194473
7,token-classification,udpos28,493de58c,en,sv,xlm-roberta-base,ft,93.86699725493669
8,token-classification,udpos28,493de58c,en,no,xlm-roberta-base,ft,89.59848098920946
9,token-classification,udpos28,493de58c,en,da,xlm-roberta-base,ft,91.29003292427417
10,token-classification,udpos28,493de58c,en,nds,xlm-roberta-base,ft,53.70786516853933
11,token-classification,udpos28,493de58c,en,akk,xlm-roberta-base,ft,25.780169100691776
12,token-classification,udpos28,493de58c,en,hy,xlm-roberta-base,ft,87.31146756045008
13,token-classification,udpos28,493de58c,en,cy,xlm-roberta-base,ft,70.95154606311763
14,token-classification,udpos28,493de58c,en,orv,xlm-roberta-base,ft,74.56531110791781
15,token-classification,udpos28,493de58c,en,sq,xlm-roberta-base,ft,79.39262472885032
16,token-classification,udpos28,493de58c,en,sl,xlm-roberta-base,ft,78.33720737174166
17,token-classification,udpos28,493de58c,en,gub,xlm-roberta-base,ft,26.71081677704194
18,token-classification,udpos28,493de58c,en,kmr,xlm-roberta-base,ft,74.88779174147217
19,token-classification,udpos28,493de58c,en,tr,xlm-roberta-base,ft,78.68258859784284
20,token-classification,udpos28,493de58c,en,fi,xlm-roberta-base,ft,87.2696183548473
21,token-classification,udpos28,493de58c,en,id,xlm-roberta-base,ft,86.41307997045593
22,token-classification,udpos28,493de58c,en,uk,xlm-roberta-base,ft,87.7327555919897
23,token-classification,udpos28,493de58c,en,pl,xlm-roberta-base,ft,86.91656629984656
24,token-classification,udpos28,493de58c,en,pt,xlm-roberta-base,ft,89.79789956755802
25,token-classification,udpos28,493de58c,en,kk,xlm-roberta-base,ft,82.17036172695448
26,token-classification,udpos28,493de58c,en,la,xlm-roberta-base,ft,76.34162195511584
27,token-classification,udpos28,493de58c,en,fro,xlm-roberta-base,ft,46.1919575988017
28,token-classification,udpos28,493de58c,en,bxr,xlm-roberta-base,ft,57.32655502392344
29,token-classification,udpos28,493de58c,en,urb,xlm-roberta-base,ft,14.166666666666666
30,token-classification,udpos28,493de58c,en,ko,xlm-roberta-base,ft,64.861285252618
31,token-classification,udpos28,493de58c,en,et,xlm-roberta-base,ft,88.46721005979485
32,token-classification,udpos28,493de58c,en,hr,xlm-roberta-base,ft,88.02967848309974
33,token-classification,udpos28,493de58c,en,got,xlm-roberta-base,ft,13.10060796234556
34,token-classification,udpos28,493de58c,en,gsw,xlm-roberta-base,ft,46.121883656509695
35,token-classification,udpos28,493de58c,en,aii,xlm-roberta-base,ft,14.56953642384106
36,token-classification,udpos28,493de58c,en,sme,xlm-roberta-base,ft,35.73426573426573
37,token-classification,udpos28,493de58c,en,pcm,xlm-roberta-base,ft,45.63323342859134
38,token-classification,udpos28,493de58c,en,lv,xlm-roberta-base,ft,87.59131391974381
39,token-classification,udpos28,493de58c,en,zh,xlm-roberta-base,ft,47.13196630919465
40,token-classification,udpos28,493de58c,en,tl,xlm-roberta-base,ft,73.18435754189943
41,token-classification,udpos28,493de58c,en,bm,xlm-roberta-base,ft,23.981769514577152
42,token-classification,udpos28,493de58c,en,lt,xlm-roberta-base,ft,86.94775743322694
43,token-classification,udpos28,493de58c,en,gl,xlm-roberta-base,ft,87.13490959666204
44,token-classification,udpos28,493de58c,en,vi,xlm-roberta-base,ft,65.94730238393977
45,token-classification,udpos28,493de58c,en,el,xlm-roberta-base,ft,87.94225294835299
46,token-classification,udpos28,493de58c,en,ca,xlm-roberta-base,ft,89.18069259044302
47,token-classification,udpos28,493de58c,en,cs,xlm-roberta-base,ft,88.47533192886189
48,token-classification,udpos28,493de58c,en,myv,xlm-roberta-base,ft,51.17345067840118
49,token-classification,udpos28,493de58c,en,bho,xlm-roberta-base,ft,50.037509377344335
50,token-classification,udpos28,493de58c,en,th,xlm-roberta-base,ft,55.160827882806196
51,token-classification,udpos28,493de58c,en,mr,xlm-roberta-base,ft,83.43558282208589
52,token-classification,udpos28,493de58c,en,eu,xlm-roberta-base,ft,75.12513333880364
53,token-classification,udpos28,493de58c,en,sk,xlm-roberta-base,ft,88.61677273825828
54,token-classification,udpos28,493de58c,en,quc,xlm-roberta-base,ft,30.41063614944463
55,token-classification,udpos28,493de58c,en,yo,xlm-roberta-base,ft,18.641923239139604
56,token-classification,udpos28,493de58c,en,wbp,xlm-roberta-base,ft,31.17408906882591
57,token-classification,udpos28,493de58c,en,ta,xlm-roberta-base,ft,83.08823529411765
58,token-classification,udpos28,493de58c,en,mt,xlm-roberta-base,ft,19.0824528131491
59,token-classification,udpos28,493de58c,en,grc,xlm-roberta-base,ft,63.65360487847577
60,token-classification,udpos28,493de58c,en,is,xlm-roberta-base,ft,84.82848220735943
61,token-classification,udpos28,493de58c,en,gun,xlm-roberta-base,ft,26.631259484066767
62,token-classification,udpos28,493de58c,en,ur,xlm-roberta-base,ft,67.85762528704579
63,token-classification,udpos28,493de58c,en,ro,xlm-roberta-base,ft,85.35520167826833
64,token-classification,udpos28,493de58c,en,fa,xlm-roberta-base,ft,76.78458145787391
65,token-classification,udpos28,493de58c,en,apu,xlm-roberta-base,ft,38.88888888888889
66,token-classification,udpos28,493de58c,en,ja,xlm-roberta-base,ft,33.505575680090914
67,token-classification,udpos28,493de58c,en,hu,xlm-roberta-base,ft,85.96860643185299
68,token-classification,udpos28,493de58c,en,hi,xlm-roberta-base,ft,74.57938878482592
69,token-classification,udpos28,493de58c,en,lzh,xlm-roberta-base,ft,25.419763281034957
70,token-classification,udpos28,493de58c,en,koi,xlm-roberta-base,ft,46.603098927294404
71,token-classification,udpos28,493de58c,en,fo,xlm-roberta-base,ft,76.67937496643935
72,token-classification,udpos28,493de58c,en,sa,xlm-roberta-base,ft,13.485354826027127
73,token-classification,udpos28,493de58c,en,olo,xlm-roberta-base,ft,57.325268817204304
74,token-classification,udpos28,493de58c,en,ar,xlm-roberta-base,ft,79.24653007270324
75,token-classification,udpos28,493de58c,en,wo,xlm-roberta-base,ft,23.158349535536832
76,token-classification,udpos28,493de58c,en,bg,xlm-roberta-base,ft,91.01373696260492
77,token-classification,udpos28,493de58c,en,aqz,xlm-roberta-base,ft,30.59125964010283
78,token-classification,udpos28,493de58c,en,mpu,xlm-roberta-base,ft,13.698630136986301
79,token-classification,udpos28,493de58c,en,xnr,xlm-roberta-base,ft,43.27764518695306
80,token-classification,udpos28,493de58c,en,br,xlm-roberta-base,ft,60.990663079601205
81,token-classification,udpos28,493de58c,en,te,xlm-roberta-base,ft,85.71428571428571
82,token-classification,udpos28,493de58c,en,yue,xlm-roberta-base,ft,51.961488719643626
83,token-classification,udpos28,493de58c,en,cu,xlm-roberta-base,ft,47.43295783072475
84,token-classification,udpos28,493de58c,en,krl,xlm-roberta-base,ft,66.25727213962507
85,token-classification,udpos28,493de58c,en,hsb,xlm-roberta-base,ft,72.38263785394933
86,token-classification,udpos28,493de58c,en,ajp,xlm-roberta-base,ft,64.00506970849176
87,token-classification,udpos28,493de58c,en,kpv,xlm-roberta-base,ft,42.13649851632047
88,token-classification,udpos28,493de58c,en,ga,xlm-roberta-base,ft,68.02521337405058
89,token-classification,udpos28,493de58c,en,nyq,xlm-roberta-base,ft,42.30769230769231
90,token-classification,udpos28,493de58c,en,myu,xlm-roberta-base,ft,25.792811839323466
91,token-classification,udpos28,493de58c,en,gv,xlm-roberta-base,ft,26.40527411519778
92,token-classification,udpos28,493de58c,en,sms,xlm-roberta-base,ft,30.982019363762102
93,token-classification,udpos28,493de58c,en,af,xlm-roberta-base,ft,89.08874093212759
94,token-classification,udpos28,493de58c,en,otk,xlm-roberta-base,ft,37.10407239819005
95,token-classification,udpos28,493de58c,en,tpn,xlm-roberta-base,ft,30.0
96,token-classification,udpos28,493de58c,en,be,xlm-roberta-base,ft,88.55233574818885
97,token-classification,udpos28,493de58c,en,sr,xlm-roberta-base,ft,88.72252867524735
98,token-classification,udpos28,493de58c,en,mdf,xlm-roberta-base,ft,48.304177079614426
99,token-classification,udpos28,493de58c,en,hyw,xlm-roberta-base,ft,79.1897332662305
100,token-classification,udpos28,493de58c,en,gd,xlm-roberta-base,ft,57.83169533169533
101,token-classification,udpos28,493de58c,en,kfm,xlm-roberta-base,ft,40.54054054054054
102,token-classification,udpos28,493de58c,en,he,xlm-roberta-base,ft,93.75
103,token-classification,udpos28,493de58c,en,ug,xlm-roberta-base,ft,74.78939798643928
104,token-classification,udpos28,493de58c,en,ckt,xlm-roberta-base,ft,36.99893579283434
105,token-classification,udpos28,493de58c,nl,en,xlm-roberta-base,ft,88.54844231427593
106,token-classification,udpos28,493de58c,nl,nl,xlm-roberta-base,ft,97.3781779661017
107,token-classification,udpos28,493de58c,nl,de,xlm-roberta-base,ft,89.01159113778526
108,token-classification,udpos28,493de58c,nl,it,xlm-roberta-base,ft,90.05191525185913
109,token-classification,udpos28,493de58c,nl,fr,xlm-roberta-base,ft,87.05547952416043
110,token-classification,udpos28,493de58c,nl,es,xlm-roberta-base,ft,89.66124971389334
111,token-classification,udpos28,493de58c,nl,ru,xlm-roberta-base,ft,88.8496992952333
112,token-classification,udpos28,493de58c,nl,sv,xlm-roberta-base,ft,90.71105994864075
113,token-classification,udpos28,493de58c,nl,no,xlm-roberta-base,ft,87.63796909492274
114,token-classification,udpos28,493de58c,nl,da,xlm-roberta-base,ft,88.92547141574379
115,token-classification,udpos28,493de58c,nl,nds,xlm-roberta-base,ft,58.08988764044943
116,token-classification,udpos28,493de58c,nl,akk,xlm-roberta-base,ft,29.592621060722525
117,token-classification,udpos28,493de58c,nl,hy,xlm-roberta-base,ft,86.92841752453914
118,token-classification,udpos28,493de58c,nl,cy,xlm-roberta-base,ft,70.00318775900541
119,token-classification,udpos28,493de58c,nl,orv,xlm-roberta-base,ft,71.37232360971404
120,token-classification,udpos28,493de58c,nl,sq,xlm-roberta-base,ft,77.54880694143166
121,token-classification,udpos28,493de58c,nl,sl,xlm-roberta-base,ft,76.97575958824507
122,token-classification,udpos28,493de58c,nl,gub,xlm-roberta-base,ft,22.516556291390728
123,token-classification,udpos28,493de58c,nl,kmr,xlm-roberta-base,ft,76.27917414721723
124,token-classification,udpos28,493de58c,nl,tr,xlm-roberta-base,ft,77.9879301489471
125,token-classification,udpos28,493de58c,nl,fi,xlm-roberta-base,ft,86.03764593757445
126,token-classification,udpos28,493de58c,nl,id,xlm-roberta-base,ft,84.8888739676358
127,token-classification,udpos28,493de58c,nl,uk,xlm-roberta-base,ft,85.81801147675372
128,token-classification,udpos28,493de58c,nl,pl,xlm-roberta-base,ft,86.28796753064624
129,token-classification,udpos28,493de58c,nl,pt,xlm-roberta-base,ft,88.92419027446827
130,token-classification,udpos28,493de58c,nl,kk,xlm-roberta-base,ft,83.02217036172695
131,token-classification,udpos28,493de58c,nl,la,xlm-roberta-base,ft,77.07536880143665
132,token-classification,udpos28,493de58c,nl,fro,xlm-roberta-base,ft,45.736836041018556
133,token-classification,udpos28,493de58c,nl,bxr,xlm-roberta-base,ft,61.094497607655505
134,token-classification,udpos28,493de58c,nl,urb,xlm-roberta-base,ft,15.0
135,token-classification,udpos28,493de58c,nl,ko,xlm-roberta-base,ft,62.0958200151871
136,token-classification,udpos28,493de58c,nl,et,xlm-roberta-base,ft,87.15788109089141
137,token-classification,udpos28,493de58c,nl,hr,xlm-roberta-base,ft,87.69991755976918
138,token-classification,udpos28,493de58c,nl,got,xlm-roberta-base,ft,19.111590507942733
139,token-classification,udpos28,493de58c,nl,gsw,xlm-roberta-base,ft,45.29085872576177
140,token-classification,udpos28,493de58c,nl,aii,xlm-roberta-base,ft,14.348785871964681
141,token-classification,udpos28,493de58c,nl,sme,xlm-roberta-base,ft,40.65934065934066
142,token-classification,udpos28,493de58c,nl,pcm,xlm-roberta-base,ft,29.02348923119816
143,token-classification,udpos28,493de58c,nl,lv,xlm-roberta-base,ft,86.86747389839555
144,token-classification,udpos28,493de58c,nl,zh,xlm-roberta-base,ft,55.680928255206254
145,token-classification,udpos28,493de58c,nl,tl,xlm-roberta-base,ft,72.25325884543761
146,token-classification,udpos28,493de58c,nl,bm,xlm-roberta-base,ft,25.189900889821317
147,token-classification,udpos28,493de58c,nl,lt,xlm-roberta-base,ft,86.01545439274315
148,token-classification,udpos28,493de58c,nl,gl,xlm-roberta-base,ft,85.18776077885953
149,token-classification,udpos28,493de58c,nl,vi,xlm-roberta-base,ft,65.14429109159347
150,token-classification,udpos28,493de58c,nl,el,xlm-roberta-base,ft,86.2545750305002
151,token-classification,udpos28,493de58c,nl,ca,xlm-roberta-base,ft,88.32946411298124
152,token-classification,udpos28,493de58c,nl,cs,xlm-roberta-base,ft,87.2397236784087
153,token-classification,udpos28,493de58c,nl,myv,xlm-roberta-base,ft,48.704314875932035
154,token-classification,udpos28,493de58c,nl,bho,xlm-roberta-base,ft,48.95723930982746
155,token-classification,udpos28,493de58c,nl,th,xlm-roberta-base,ft,64.94937729594122
156,token-classification,udpos28,493de58c,nl,mr,xlm-roberta-base,ft,85.88957055214725
157,token-classification,udpos28,493de58c,nl,eu,xlm-roberta-base,ft,77.74677935505046
158,token-classification,udpos28,493de58c,nl,sk,xlm-roberta-base,ft,88.13340852332232
159,token-classification,udpos28,493de58c,nl,quc,xlm-roberta-base,ft,27.71794008751262
160,token-classification,udpos28,493de58c,nl,yo,xlm-roberta-base,ft,19.26050892731618
161,token-classification,udpos28,493de58c,nl,wbp,xlm-roberta-base,ft,39.67611336032389
162,token-classification,udpos28,493de58c,nl,ta,xlm-roberta-base,ft,84.52012383900929
163,token-classification,udpos28,493de58c,nl,mt,xlm-roberta-base,ft,21.069267587826243
164,token-classification,udpos28,493de58c,nl,grc,xlm-roberta-base,ft,63.87243602836051
165,token-classification,udpos28,493de58c,nl,is,xlm-roberta-base,ft,84.35133182633824
166,token-classification,udpos28,493de58c,nl,gun,xlm-roberta-base,ft,25.03793626707132
167,token-classification,udpos28,493de58c,nl,ur,xlm-roberta-base,ft,67.47264622450359
168,token-classification,udpos28,493de58c,nl,ro,xlm-roberta-base,ft,82.51549537522646
169,token-classification,udpos28,493de58c,nl,fa,xlm-roberta-base,ft,77.08968975621545
170,token-classification,udpos28,493de58c,nl,apu,xlm-roberta-base,ft,33.49673202614379
171,token-classification,udpos28,493de58c,nl,ja,xlm-roberta-base,ft,42.16386106967824
172,token-classification,udpos28,493de58c,nl,hu,xlm-roberta-base,ft,87.03101071975497
173,token-classification,udpos28,493de58c,nl,hi,xlm-roberta-base,ft,71.24318668894176
174,token-classification,udpos28,493de58c,nl,lzh,xlm-roberta-base,ft,31.846958436553813
175,token-classification,udpos28,493de58c,nl,koi,xlm-roberta-base,ft,50.89392133492253
176,token-classification,udpos28,493de58c,nl,fo,xlm-roberta-base,ft,77.11969070504216
177,token-classification,udpos28,493de58c,nl,sa,xlm-roberta-base,ft,24.60192647926086
178,token-classification,udpos28,493de58c,nl,olo,xlm-roberta-base,ft,63.77688172043011
179,token-classification,udpos28,493de58c,nl,ar,xlm-roberta-base,ft,79.48730053819281
180,token-classification,udpos28,493de58c,nl,wo,xlm-roberta-base,ft,25.556275653488875
181,token-classification,udpos28,493de58c,nl,bg,xlm-roberta-base,ft,89.17578224370389
182,token-classification,udpos28,493de58c,nl,aqz,xlm-roberta-base,ft,37.789203084832906
183,token-classification,udpos28,493de58c,nl,mpu,xlm-roberta-base,ft,13.698630136986301
184,token-classification,udpos28,493de58c,nl,xnr,xlm-roberta-base,ft,44.74940334128878
185,token-classification,udpos28,493de58c,nl,br,xlm-roberta-base,ft,63.506884000633015
186,token-classification,udpos28,493de58c,nl,te,xlm-roberta-base,ft,85.85298196948682
187,token-classification,udpos28,493de58c,nl,yue,xlm-roberta-base,ft,57.170570484264985
188,token-classification,udpos28,493de58c,nl,cu,xlm-roberta-base,ft,46.4460173462267
189,token-classification,udpos28,493de58c,nl,krl,xlm-roberta-base,ft,73.46477052359405
190,token-classification,udpos28,493de58c,nl,hsb,xlm-roberta-base,ft,71.7026825633383
191,token-classification,udpos28,493de58c,nl,ajp,xlm-roberta-base,ft,67.9340937896071
192,token-classification,udpos28,493de58c,nl,kpv,xlm-roberta-base,ft,41.839762611275965
193,token-classification,udpos28,493de58c,nl,ga,xlm-roberta-base,ft,65.89930310860544
194,token-classification,udpos28,493de58c,nl,nyq,xlm-roberta-base,ft,46.15384615384615
195,token-classification,udpos28,493de58c,nl,myu,xlm-roberta-base,ft,21.775898520084567
196,token-classification,udpos28,493de58c,nl,gv,xlm-roberta-base,ft,33.17140874392783
197,token-classification,udpos28,493de58c,nl,sms,xlm-roberta-base,ft,32.68787459658829
198,token-classification,udpos28,493de58c,nl,af,xlm-roberta-base,ft,88.41299811189506
199,token-classification,udpos28,493de58c,nl,otk,xlm-roberta-base,ft,37.10407239819005
200,token-classification,udpos28,493de58c,nl,tpn,xlm-roberta-base,ft,30.43165467625899
201,token-classification,udpos28,493de58c,nl,be,xlm-roberta-base,ft,87.42817886585061
202,token-classification,udpos28,493de58c,nl,sr,xlm-roberta-base,ft,89.11653970755626
203,token-classification,udpos28,493de58c,nl,mdf,xlm-roberta-base,ft,46.054980364155654
204,token-classification,udpos28,493de58c,nl,hyw,xlm-roberta-base,ft,79.31555108203322
205,token-classification,udpos28,493de58c,nl,gd,xlm-roberta-base,ft,58.6916461916462
206,token-classification,udpos28,493de58c,nl,kfm,xlm-roberta-base,ft,43.24324324324324
207,token-classification,udpos28,493de58c,nl,he,xlm-roberta-base,ft,92.70833333333334
208,token-classification,udpos28,493de58c,nl,ug,xlm-roberta-base,ft,76.57694678446681
209,token-classification,udpos28,493de58c,nl,ckt,xlm-roberta-base,ft,32.03263568641363
210,token-classification,udpos28,493de58c,de,en,xlm-roberta-base,ft,44.846338187659654
211,token-classification,udpos28,493de58c,de,nl,xlm-roberta-base,ft,89.35822740112994
212,token-classification,udpos28,493de58c,de,de,xlm-roberta-base,ft,97.36350903965362
213,token-classification,udpos28,493de58c,de,it,xlm-roberta-base,ft,82.42364716336935
214,token-classification,udpos28,493de58c,de,fr,xlm-roberta-base,ft,81.24223602484471
215,token-classification,udpos28,493de58c,de,es,xlm-roberta-base,ft,87.47997253376059
216,token-classification,udpos28,493de58c,de,ru,xlm-roberta-base,ft,88.37167238361013
217,token-classification,udpos28,493de58c,de,sv,xlm-roberta-base,ft,91.89409368635438
218,token-classification,udpos28,493de58c,de,no,xlm-roberta-base,ft,86.08499668102317
219,token-classification,udpos28,493de58c,de,da,xlm-roberta-base,ft,88.13728424623366
220,token-classification,udpos28,493de58c,de,nds,xlm-roberta-base,ft,23.258426966292134
221,token-classification,udpos28,493de58c,de,akk,xlm-roberta-base,ft,19.815526518063027
222,token-classification,udpos28,493de58c,de,hy,xlm-roberta-base,ft,84.22312664591813
223,token-classification,udpos28,493de58c,de,cy,xlm-roberta-base,ft,66.48071405801721
