,Akkadian,Assyrian,Hebrew,Maltese,Arabic,Bambara,Yoruba,Wolof,Basque,Albanian,Armenian,Western Armenian,Latvian,Lithuanian,Breton,Scottish Gaelic,Irish,Manx,Welsh,Afrikaans,Danish,Dutch,English,Faroese,Gothic,Icelandic,Low Saxon,Norwegian,German,Swedish,Greek,Ancient Greek,Bhojpuri,Hindi,Marathi,Sanskrit,Urdu,Kurmanji,Persian,Catalan,French,Galician,Italian,Latin,Portuguese,Romanian,Spanish,Belarusian,Bulgarian,Croatian,Czech,Old Church Slavonic,Polish,Russian,Serbian,Slovak,Slovenian,Ukrainian,Upper Sorbian,Estonian,Finnish,Karelian,Erzya,Moksha,Komi Permyak,Komi Zyrian,Skolt Sami,Hungarian,Kazakh,Old Turkish,Turkish,Uyghur,Japanese,Korean,Telugu,Tamil,Cantonese,Chinese,Classical Chinese,Thai,Vietnamese,Tagalog,Indonesian,Warlpiri,Kiche,Apurina,Munduruku,Guajajara,Tupinamba,Kaapor
Norwegian,100.29,101.07,98.35,99.8,98.39,100.03,101.12,97.89,100.95,97.73,94.57,97.75,97.11,96.79,88.15,96.26,98.65,100.9,92.51,66.11,47.34,62.6,62.03,60.55,73.4,66.02,61.78,,64.38,48.23,98.61,99.55,96.87,96.18,94.08,96.11,94.9,97.21,99.73,91.06,94.31,90.54,91.83,89.22,97.01,94.12,95.35,92.04,92.7,91.46,90.65,92.72,94.34,92.26,90.52,92.09,88.92,94.24,94.82,99.99,101.36,98.83,100.45,101.37,96.06,98.18,99.68,99.18,99.37,101.17,101.18,99.06,100.23,101.15,100.69,99.65,100.69,101.79,100.07,99.79,99.36,101.64,102.98,100.14,102.02,99.7,102.44,99.62,100.61,97.91
German,100.83,101.81,99.59,102.27,99.26,101.02,103.64,99.97,101.54,95.68,94.81,96.83,93.66,93.37,91.5,96.19,97.75,96.61,96.26,59.5,67.52,48.83,67.33,74.06,66.62,70.9,44.61,64.38,,69.79,96.75,94.57,92.67,93.98,95.24,93.61,94.01,93.82,92.89,88.44,95.73,91.54,86.3,89.38,93.53,88.17,92.98,90.92,92.1,91.98,92.92,92.14,96.5,92.04,91.56,93.54,89.75,94.41,95.65,96.83,99.04,94.61,101.08,100.99,99.84,98.12,97.01,98.33,99.23,98.65,99.77,95.66,100.09,104.68,101.06,99.67,100.69,102.35,100.16,95.45,94.98,100.07,102.53,100.48,98.4,100.94,100.94,98.91,97.99,100.22
Swedish,98.95,99.92,98.15,100.19,97.84,101.16,103.23,100.05,100.52,96.34,95.22,97.63,96.37,96.59,92.12,98.02,99.41,98.15,94.04,71.85,52.43,68.1,64.26,67.92,76.47,69.82,62.63,48.23,69.79,,97.06,98.19,93.54,92.46,93.04,94.42,90.04,97.79,98.46,91.78,94.85,93.39,92.98,91.07,94.2,93.11,92.63,93.22,94.69,89.42,93.25,94.86,97.63,96.65,88.22,92.07,91.61,92.33,98.44,99.23,97.53,96.39,98.39,98.6,98.15,99.73,99.17,97.73,99.66,100.88,100.71,98.15,101.18,101.59,103.14,101.53,99.82,100.88,98.85,100.99,99.48,101.13,101.4,98.31,101.42,100.15,99.86,99.93,99.5,97.83
Greek,100.04,98.55,99.68,101.12,98.93,98.35,103.04,100.5,97.52,97.75,94.9,95.44,97.73,97.04,95.24,100.16,99.85,97.68,95.2,95.72,98.29,96.12,96.26,100.36,94.62,102.7,96.01,98.61,96.75,97.06,,71.74,96.14,96.01,99.45,95.69,94.89,93.65,98.91,89.8,95.36,89.78,91.67,92.22,90.18,90.33,94.12,99.63,95.95,96.44,97.34,97.33,96.4,99.7,95.48,97.46,96.98,95.38,97.66,99.39,102.01,98.46,97.07,99.14,102.8,102.81,96.38,97.94,100.91,100.85,99.7,98.19,100.9,99.5,98.15,101.02,97.77,102.88,98.89,99.05,96.09,98.56,98.65,99.03,99.23,99.21,97.34,99.92,95.98,96.55
Ancient Greek,99.17,98.73,99.25,98.75,99.38,100.21,102.4,100.97,102.53,98.25,95.02,92.83,95.78,93.96,93.84,101.2,96.69,96.99,92.06,90.9,99.18,90.37,96.73,96.36,94.89,98.24,95.18,99.55,94.57,98.19,71.74,,99.21,94.96,98.39,94.92,97.51,94.12,95.2,93.07,93.53,90.28,93.45,87.53,94.08,94.04,95.05,95.15,94.84,94.47,96.49,93.79,96.8,96.82,95.65,96.01,94.02,91.05,96.97,98.54,100.99,99.65,100.48,102.54,99.83,99.91,97.58,97.88,99.88,100.38,99.44,95.87,99.87,98.65,96.82,98.23,100.09,98.54,94.06,100.91,99.08,94.96,96.74,99.34,101.4,100.84,99.37,100.51,99.3,100.7
Bhojpuri,102.13,96.22,94.77,99.65,96.41,93.9,96.13,100.53,101.44,93.96,92.81,88.15,92.05,86.13,99.4,97.13,95.23,93.05,98.02,93.33,91.43,93.16,96.28,94.81,93.61,94.59,90.88,96.87,92.67,93.54,96.14,99.21,,50.73,69.07,83.93,47.96,83.77,87.95,91.47,93.92,89.57,87.45,90.08,88.7,85.92,93.76,92.12,90.83,91.76,92.98,90.12,92.44,93.51,90.8,90.34,92.72,97.24,94.74,99.91,94.49,94.36,97.87,98.32,95.77,96.69,100.67,98.99,101.26,99.27,95.87,98.7,98.89,100.58,98.24,96.76,103.47,101.76,99.44,100.18,100.9,96.29,95.13,103.15,98.69,96.13,100.39,100.09,99.21,100.36
Hindi,98.6,98.68,96.52,100.83,97.57,95.3,98.99,100.71,102.75,92.64,96.42,94.24,95.35,90.35,96.27,99.03,100.01,96.07,94.28,92.49,91.98,91.22,96.06,96.17,92.18,95.51,89.34,96.18,93.98,92.46,96.01,94.96,50.73,,64.72,82.08,47.72,83.72,81.77,89.0,91.32,91.33,88.49,87.69,89.18,87.63,92.94,92.85,89.05,90.68,93.17,90.94,93.73,94.15,88.26,92.53,91.15,95.13,95.3,98.56,97.69,97.26,98.25,99.02,99.75,98.81,98.32,98.48,97.49,100.92,98.27,96.34,101.53,99.97,97.75,97.44,103.36,102.83,96.43,97.67,104.59,96.42,99.71,100.69,100.03,98.87,104.08,97.75,95.87,96.74
Marathi,100.52,97.23,99.09,100.67,100.05,100.34,97.56,100.35,103.49,98.29,99.62,100.42,97.88,95.34,97.02,99.72,101.3,98.53,96.37,94.21,93.08,92.42,95.05,96.74,95.09,93.55,92.61,94.08,95.24,93.04,99.45,98.39,69.07,64.72,,83.87,65.31,87.56,91.65,92.46,96.18,92.96,94.87,94.17,93.22,89.95,95.5,94.14,97.41,95.4,97.83,96.41,95.13,95.39,94.95,97.69,96.72,97.29,97.31,96.5,97.43,96.11,96.43,96.8,98.28,102.81,100.06,98.85,99.64,102.39,96.2,100.79,98.53,102.06,104.16,98.17,102.14,101.81,103.32,101.74,102.09,99.7,98.3,101.27,101.85,99.36,102.48,100.41,100.07,102.18
Sanskrit,100.98,99.58,101.22,101.03,100.71,100.1,98.7,98.99,101.35,97.32,97.63,98.34,97.76,93.99,97.92,100.12,100.49,99.5,100.45,92.06,94.79,91.61,93.81,93.82,94.97,92.5,90.72,96.11,93.61,94.42,95.69,94.92,83.93,82.08,83.87,,82.75,91.25,89.82,95.08,92.19,94.38,93.05,91.96,92.82,91.3,95.73,94.58,91.36,93.08,96.11,91.39,92.49,93.27,91.89,95.33,93.07,95.37,94.88,99.12,98.11,99.15,99.92,99.73,97.71,102.0,98.38,100.48,102.7,100.78,101.47,96.71,100.39,101.08,98.2,102.97,98.5,102.7,102.64,100.45,102.5,97.7,99.98,101.17,101.42,102.84,100.75,99.33,100.89,97.83
Urdu,98.51,97.83,96.55,99.18,96.44,94.94,98.35,104.08,100.92,96.42,93.05,89.36,96.05,93.02,95.41,97.55,97.83,97.38,94.09,91.22,93.07,92.46,95.03,94.61,94.4,94.19,90.99,94.9,94.01,90.04,94.89,97.51,47.96,47.72,65.31,82.75,,79.07,78.87,90.31,92.49,89.96,88.18,88.79,86.13,88.46,89.78,92.76,91.34,94.74,96.85,94.01,93.64,94.32,92.39,94.08,94.47,94.29,96.52,98.31,97.54,97.35,97.12,97.18,100.02,100.75,99.29,97.98,99.64,100.16,97.14,96.69,102.06,99.47,99.34,97.51,101.18,100.17,105.09,101.61,106.09,99.32,101.16,100.54,101.05,102.68,101.36,98.69,98.64,96.47
Kurmanji,100.77,96.75,101.1,98.47,96.59,98.65,98.58,99.19,101.52,97.04,91.14,89.89,94.62,93.3,97.41,100.01,97.5,93.59,97.89,93.35,98.06,90.39,93.06,97.78,95.13,95.49,95.37,97.21,93.82,97.79,93.65,94.12,83.77,83.72,87.56,91.25,79.07,,79.4,88.96,90.9,93.39,89.86,88.26,93.23,89.76,91.73,94.46,93.55,93.89,95.59,93.39,94.22,95.57,95.65,95.18,91.46,95.93,95.5,98.5,98.51,101.55,98.39,100.54,102.01,101.6,96.9,93.51,99.45,98.74,97.11,96.34,98.28,99.75,99.42,100.49,100.63,101.27,98.71,98.96,101.61,97.28,98.02,100.84,97.74,99.24,101.03,101.78,101.62,102.07
Persian,96.59,97.91,99.16,98.6,97.46,98.66,99.58,99.79,101.14,97.06,98.0,95.97,95.38,93.77,98.22,98.5,98.25,97.45,97.71,93.6,96.82,92.37,95.34,97.92,98.35,98.67,91.92,99.73,92.89,98.46,98.91,95.2,87.95,81.77,91.65,89.82,78.87,79.4,,92.22,94.31,92.96,91.74,88.97,96.03,92.91,96.31,92.22,97.11,93.12,94.62,94.8,91.71,93.02,93.93,93.42,93.61,95.8,93.0,100.19,100.97,100.0,95.9,96.38,101.26,99.9,93.97,98.86,97.41,95.49,98.64,97.07,101.6,100.77,98.47,97.17,100.64,100.93,99.08,98.19,102.19,96.05,98.82,100.4,98.47,100.74,101.05,95.98,96.53,101.03
Catalan,96.89,98.94,95.66,95.0,96.92,94.31,102.61,103.25,101.6,91.55,97.07,94.94,95.8,93.33,91.34,96.25,95.75,93.23,90.3,92.35,89.42,89.69,87.09,94.76,90.53,95.45,88.35,91.06,88.44,91.78,89.8,93.07,91.47,89.0,92.46,95.08,90.31,88.96,92.22,,75.45,63.51,65.41,69.58,72.74,64.18,72.12,93.7,90.78,91.62,89.85,92.91,92.54,92.0,93.03,91.89,89.98,90.47,92.84,100.05,101.31,102.08,96.36,96.86,103.09,101.93,98.8,100.11,100.17,100.63,100.01,97.07,102.21,99.65,100.77,101.33,96.27,100.5,101.9,100.39,101.33,100.33,99.06,98.21,100.31,99.14,101.5,100.06,99.37,102.83
French,96.56,98.79,93.05,97.28,97.3,94.91,102.08,95.35,100.55,91.45,95.8,95.73,96.56,94.41,88.12,99.26,99.86,95.22,89.7,90.9,94.15,92.96,91.35,91.61,95.05,92.24,92.73,94.31,95.73,94.85,95.36,93.53,93.92,91.32,96.18,92.19,92.49,90.9,94.31,75.45,,79.86,78.25,81.49,78.74,78.89,84.03,93.86,91.67,90.6,92.27,93.19,94.2,92.21,91.21,91.94,90.51,93.98,93.61,98.06,98.81,99.35,100.18,99.27,101.89,101.32,102.95,96.93,101.76,104.03,98.71,100.81,102.94,99.93,98.47,96.87,96.05,101.86,100.3,98.81,102.42,101.89,98.99,96.95,99.11,99.08,100.28,100.5,99.81,102.08
