,task_type,task_name,digest,lang_train,lang_pred,model_id,model_type,score
0,token-classification,udpos28,b30906d4,en,en,xlm-roberta-base,ft,96.35398836015064
1,token-classification,udpos28,b30906d4,en,nl,xlm-roberta-base,ft,89.85257768361582
2,token-classification,udpos28,b30906d4,en,de,xlm-roberta-base,ft,89.35341064172451
3,token-classification,udpos28,b30906d4,en,it,xlm-roberta-base,ft,87.29245591880643
4,token-classification,udpos28,b30906d4,en,fr,xlm-roberta-base,ft,87.65343720391621
5,token-classification,udpos28,b30906d4,en,es,xlm-roberta-base,ft,90.29297322041657
6,token-classification,udpos28,b30906d4,en,ru,xlm-roberta-base,ft,90.99629852134649
7,token-classification,udpos28,b30906d4,en,sv,xlm-roberta-base,ft,93.97502877888958
8,token-classification,udpos28,b30906d4,en,no,xlm-roberta-base,ft,88.85904382593124
9,token-classification,udpos28,b30906d4,en,da,xlm-roberta-base,ft,91.27007881871695
10,token-classification,udpos28,b30906d4,en,nds,xlm-roberta-base,ft,51.460674157303366
11,token-classification,udpos28,b30906d4,en,akk,xlm-roberta-base,ft,13.697156033820137
12,token-classification,udpos28,b30906d4,en,hy,xlm-roberta-base,ft,87.4551113239167
13,token-classification,udpos28,b30906d4,en,cy,xlm-roberta-base,ft,70.74434172776537
14,token-classification,udpos28,b30906d4,en,orv,xlm-roberta-base,ft,73.33812329357666
15,token-classification,udpos28,b30906d4,en,sq,xlm-roberta-base,ft,80.15184381778741
16,token-classification,udpos28,b30906d4,en,sl,xlm-roberta-base,ft,77.42404117549394
17,token-classification,udpos28,b30906d4,en,gub,xlm-roberta-base,ft,16.55629139072848
18,token-classification,udpos28,b30906d4,en,kmr,xlm-roberta-base,ft,73.5076301615799
19,token-classification,udpos28,b30906d4,en,tr,xlm-roberta-base,ft,78.49126861838727
20,token-classification,udpos28,b30906d4,en,fi,xlm-roberta-base,ft,87.39295575270852
21,token-classification,udpos28,b30906d4,en,id,xlm-roberta-base,ft,86.55744309407105
22,token-classification,udpos28,b30906d4,en,uk,xlm-roberta-base,ft,87.55123550767068
23,token-classification,udpos28,b30906d4,en,pl,xlm-roberta-base,ft,86.97266172806917
24,token-classification,udpos28,b30906d4,en,pt,xlm-roberta-base,ft,90.31859500485395
25,token-classification,udpos28,b30906d4,en,kk,xlm-roberta-base,ft,82.96382730455076
26,token-classification,udpos28,b30906d4,en,la,xlm-roberta-base,ft,74.64937697621382
27,token-classification,udpos28,b30906d4,en,fro,xlm-roberta-base,ft,37.752045166493836
28,token-classification,udpos28,b30906d4,en,bxr,xlm-roberta-base,ft,54.645135566188195
29,token-classification,udpos28,b30906d4,en,urb,xlm-roberta-base,ft,6.25
30,token-classification,udpos28,b30906d4,en,ko,xlm-roberta-base,ft,65.40342945944514
31,token-classification,udpos28,b30906d4,en,et,xlm-roberta-base,ft,88.35377809466708
