,task_type,task_name,digest,lang_train,lang_pred,model_id,model_type,score
0,token-classification,udpos28,d865a7c1,en,en,xlm-roberta-base,ft,94.86213888815738
1,token-classification,udpos28,d865a7c1,en,nl,xlm-roberta-base,ft,89.90112994350282
2,token-classification,udpos28,d865a7c1,en,de,xlm-roberta-base,ft,88.01224917233593
3,token-classification,udpos28,d865a7c1,en,it,xlm-roberta-base,ft,87.06328048267153
4,token-classification,udpos28,d865a7c1,en,fr,xlm-roberta-base,ft,87.55237393409833
5,token-classification,udpos28,d865a7c1,en,es,xlm-roberta-base,ft,89.96337834744793
6,token-classification,udpos28,d865a7c1,en,ru,xlm-roberta-base,ft,90.50728991040225
7,token-classification,udpos28,d865a7c1,en,sv,xlm-roberta-base,ft,93.43132914194634
8,token-classification,udpos28,d865a7c1,en,no,xlm-roberta-base,ft,88.82353849241267
9,token-classification,udpos28,d865a7c1,en,da,xlm-roberta-base,ft,91.13040007981643
10,token-classification,udpos28,d865a7c1,en,nds,xlm-roberta-base,ft,57.19101123595506
11,token-classification,udpos28,d865a7c1,en,akk,xlm-roberta-base,ft,39.062259800153726
12,token-classification,udpos28,d865a7c1,en,hy,xlm-roberta-base,ft,86.30596121618387
13,token-classification,udpos28,d865a7c1,en,cy,xlm-roberta-base,ft,71.62097545425566
14,token-classification,udpos28,d865a7c1,en,orv,xlm-roberta-base,ft,76.4247736743785
15,token-classification,udpos28,d865a7c1,en,sq,xlm-roberta-base,ft,84.27331887201736
16,token-classification,udpos28,d865a7c1,en,sl,xlm-roberta-base,ft,79.37904698655154
17,token-classification,udpos28,d865a7c1,en,gub,xlm-roberta-base,ft,29.3598233995585
18,token-classification,udpos28,d865a7c1,en,kmr,xlm-roberta-base,ft,77.10951526032316
19,token-classification,udpos28,d865a7c1,en,tr,xlm-roberta-base,ft,78.72496147919877
20,token-classification,udpos28,d865a7c1,en,fi,xlm-roberta-base,ft,86.72020630982915
21,token-classification,udpos28,d865a7c1,en,id,xlm-roberta-base,ft,86.56415765796012
22,token-classification,udpos28,d865a7c1,en,uk,xlm-roberta-base,ft,87.25846117812391
23,token-classification,udpos28,d865a7c1,en,pl,xlm-roberta-base,ft,86.99740971110855
24,token-classification,udpos28,d865a7c1,en,pt,xlm-roberta-base,ft,89.69199541081987
25,token-classification,udpos28,d865a7c1,en,kk,xlm-roberta-base,ft,82.87047841306885
26,token-classification,udpos28,d865a7c1,en,la,xlm-roberta-base,ft,80.10290083400355
27,token-classification,udpos28,d865a7c1,en,fro,xlm-roberta-base,ft,59.966586012213384
28,token-classification,udpos28,d865a7c1,en,bxr,xlm-roberta-base,ft,63.476874003189785
29,token-classification,udpos28,d865a7c1,en,urb,xlm-roberta-base,ft,18.75
30,token-classification,udpos28,d865a7c1,en,ko,xlm-roberta-base,ft,63.36200045914493
31,token-classification,udpos28,d865a7c1,en,et,xlm-roberta-base,ft,88.2500688694074
32,token-classification,udpos28,d865a7c1,en,hr,xlm-roberta-base,ft,87.42374278647979
33,token-classification,udpos28,d865a7c1,en,got,xlm-roberta-base,ft,27.681898411453226
34,token-classification,udpos28,d865a7c1,en,gsw,xlm-roberta-base,ft,49.792243767313025
35,token-classification,udpos28,d865a7c1,en,aii,xlm-roberta-base,ft,15.894039735099339
36,token-classification,udpos28,d865a7c1,en,sme,xlm-roberta-base,ft,44.94505494505495
37,token-classification,udpos28,d865a7c1,en,pcm,xlm-roberta-base,ft,47.45242907925002
38,token-classification,udpos28,d865a7c1,en,lv,xlm-roberta-base,ft,87.57797124653925
39,token-classification,udpos28,d865a7c1,en,zh,xlm-roberta-base,ft,39.287826239831226
40,token-classification,udpos28,d865a7c1,en,tl,xlm-roberta-base,ft,74.58100558659217
41,token-classification,udpos28,d865a7c1,en,bm,xlm-roberta-base,ft,32.79317080228604
42,token-classification,udpos28,d865a7c1,en,lt,xlm-roberta-base,ft,87.29212161935159
43,token-classification,udpos28,d865a7c1,en,gl,xlm-roberta-base,ft,86.78720445062586
44,token-classification,udpos28,d865a7c1,en,vi,xlm-roberta-base,ft,66.56629025512338
45,token-classification,udpos28,d865a7c1,en,el,xlm-roberta-base,ft,87.98291988613258
46,token-classification,udpos28,d865a7c1,en,ca,xlm-roberta-base,ft,89.00657767459856
47,token-classification,udpos28,d865a7c1,en,cs,xlm-roberta-base,ft,86.63465778256823
48,token-classification,udpos28,d865a7c1,en,myv,xlm-roberta-base,ft,50.99009900990099
