,task_type,task_name,digest,lang_train,lang_pred,model_id,model_type,score
0,token-classification,udpos28,fce84d6d,en,en,xlm-roberta-base,ft,95.67060806362416
1,token-classification,udpos28,fce84d6d,en,nl,xlm-roberta-base,ft,90.20568502824858
2,token-classification,udpos28,fce84d6d,en,de,xlm-roberta-base,ft,88.3556049437086
3,token-classification,udpos28,fce84d6d,en,it,xlm-roberta-base,ft,87.67597399560357
4,token-classification,udpos28,fce84d6d,en,fr,xlm-roberta-base,ft,88.019791557006
5,token-classification,udpos28,fce84d6d,en,es,xlm-roberta-base,ft,90.6134126802472
6,token-classification,udpos28,fce84d6d,en,ru,xlm-roberta-base,ft,90.62679663830804
7,token-classification,udpos28,fce84d6d,en,sv,xlm-roberta-base,ft,93.9697157531214
8,token-classification,udpos28,fce84d6d,en,no,xlm-roberta-base,ft,89.5120332206425
9,token-classification,udpos28,fce84d6d,en,da,xlm-roberta-base,ft,91.35987229372444
10,token-classification,udpos28,fce84d6d,en,nds,xlm-roberta-base,ft,55.50561797752809
11,token-classification,udpos28,fce84d6d,en,akk,xlm-roberta-base,ft,24.88854727132975
12,token-classification,udpos28,fce84d6d,en,hy,xlm-roberta-base,ft,87.09600191525017
13,token-classification,udpos28,fce84d6d,en,cy,xlm-roberta-base,ft,69.76410583359898
14,token-classification,udpos28,fce84d6d,en,orv,xlm-roberta-base,ft,76.26383101020262
15,token-classification,udpos28,fce84d6d,en,sq,xlm-roberta-base,ft,83.29718004338395
16,token-classification,udpos28,fce84d6d,en,sl,xlm-roberta-base,ft,79.2379213016769
17,token-classification,udpos28,fce84d6d,en,gub,xlm-roberta-base,ft,18.101545253863137
18,token-classification,udpos28,fce84d6d,en,kmr,xlm-roberta-base,ft,75.79667863554758
19,token-classification,udpos28,fce84d6d,en,tr,xlm-roberta-base,ft,78.47457627118644
20,token-classification,udpos28,fce84d6d,en,fi,xlm-roberta-base,ft,87.01873887510688
21,token-classification,udpos28,fce84d6d,en,id,xlm-roberta-base,ft,86.32579063989793
22,token-classification,udpos28,fce84d6d,en,uk,xlm-roberta-base,ft,87.5043916149432
23,token-classification,udpos28,fce84d6d,en,pl,xlm-roberta-base,ft,87.04690567718731
24,token-classification,udpos28,fce84d6d,en,pt,xlm-roberta-base,ft,90.18621480893125
25,token-classification,udpos28,fce84d6d,en,kk,xlm-roberta-base,ft,82.27537922987165
26,token-classification,udpos28,fce84d6d,en,la,xlm-roberta-base,ft,79.37576431963159
27,token-classification,udpos28,fce84d6d,en,fro,xlm-roberta-base,ft,55.5882014056919
28,token-classification,udpos28,fce84d6d,en,bxr,xlm-roberta-base,ft,58.89154704944178
29,token-classification,udpos28,fce84d6d,en,urb,xlm-roberta-base,ft,12.916666666666668
30,token-classification,udpos28,fce84d6d,en,ko,xlm-roberta-base,ft,63.319617850142166
31,token-classification,udpos28,fce84d6d,en,et,xlm-roberta-base,ft,88.74754905932491
32,token-classification,udpos28,fce84d6d,en,hr,xlm-roberta-base,ft,88.01731244847485
33,token-classification,udpos28,fce84d6d,en,got,xlm-roberta-base,ft,16.120808001568935
34,token-classification,udpos28,fce84d6d,en,gsw,xlm-roberta-base,ft,45.42936288088642
35,token-classification,udpos28,fce84d6d,en,aii,xlm-roberta-base,ft,14.79028697571744
36,token-classification,udpos28,fce84d6d,en,sme,xlm-roberta-base,ft,31.52847152847153
37,token-classification,udpos28,fce84d6d,en,pcm,xlm-roberta-base,ft,47.612741339652885
38,token-classification,udpos28,fce84d6d,en,lv,xlm-roberta-base,ft,86.96087261082758
39,token-classification,udpos28,fce84d6d,en,zh,xlm-roberta-base,ft,41.09063593792453
40,token-classification,udpos28,fce84d6d,en,tl,xlm-roberta-base,ft,74.39478584729981
41,token-classification,udpos28,fce84d6d,en,bm,xlm-roberta-base,ft,28.807060695941544
42,token-classification,udpos28,fce84d6d,en,lt,xlm-roberta-base,ft,87.0149504451537
