,task_type,task_name,digest,lang_train,lang_pred,model_id,model_type,score
0,token-classification,udpos28,b0072947,en,en,xlm-roberta-base,ft,90.27598556869356
1,token-classification,udpos28,b0072947,en,nl,xlm-roberta-base,ft,86.63488700564972
2,token-classification,udpos28,b0072947,en,de,xlm-roberta-base,ft,85.12585870948415
3,token-classification,udpos28,b0072947,en,it,xlm-roberta-base,ft,84.95393106028718
4,token-classification,udpos28,b0072947,en,fr,xlm-roberta-base,ft,82.72660280029477
5,token-classification,udpos28,b0072947,en,es,xlm-roberta-base,ft,88.09109636072327
6,token-classification,udpos28,b0072947,en,ru,xlm-roberta-base,ft,85.04550945395115
7,token-classification,udpos28,b0072947,en,sv,xlm-roberta-base,ft,88.70096519968122
8,token-classification,udpos28,b0072947,en,no,xlm-roberta-base,ft,84.16307754056098
9,token-classification,udpos28,b0072947,en,da,xlm-roberta-base,ft,87.72822508231069
10,token-classification,udpos28,b0072947,en,nds,xlm-roberta-base,ft,56.40449438202248
11,token-classification,udpos28,b0072947,en,akk,xlm-roberta-base,ft,32.66717909300538
12,token-classification,udpos28,b0072947,en,hy,xlm-roberta-base,ft,81.54177639454153
13,token-classification,udpos28,b0072947,en,cy,xlm-roberta-base,ft,64.41664010200829
14,token-classification,udpos28,b0072947,en,orv,xlm-roberta-base,ft,72.56214973415722
15,token-classification,udpos28,b0072947,en,sq,xlm-roberta-base,ft,79.50108459869848
16,token-classification,udpos28,b0072947,en,sl,xlm-roberta-base,ft,72.18163705794454
17,token-classification,udpos28,b0072947,en,gub,xlm-roberta-base,ft,30.242825607064017
18,token-classification,udpos28,b0072947,en,kmr,xlm-roberta-base,ft,72.36310592459606
19,token-classification,udpos28,b0072947,en,tr,xlm-roberta-base,ft,75.0231124807396
20,token-classification,udpos28,b0072947,en,fi,xlm-roberta-base,ft,82.42862548879451
21,token-classification,udpos28,b0072947,en,id,xlm-roberta-base,ft,83.32438058148122
22,token-classification,udpos28,b0072947,en,uk,xlm-roberta-base,ft,82.70289261037593
23,token-classification,udpos28,b0072947,en,pl,xlm-roberta-base,ft,81.21958060418076
24,token-classification,udpos28,b0072947,en,pt,xlm-roberta-base,ft,85.3587503309505
25,token-classification,udpos28,b0072947,en,kk,xlm-roberta-base,ft,76.97782963827305
26,token-classification,udpos28,b0072947,en,la,xlm-roberta-base,ft,77.83445525356132
27,token-classification,udpos28,b0072947,en,fro,xlm-roberta-base,ft,59.93778085032838
28,token-classification,udpos28,b0072947,en,bxr,xlm-roberta-base,ft,60.027910685805416
29,token-classification,udpos28,b0072947,en,urb,xlm-roberta-base,ft,17.5
30,token-classification,udpos28,b0072947,en,ko,xlm-roberta-base,ft,58.4367881046144
31,token-classification,udpos28,b0072947,en,et,xlm-roberta-base,ft,84.70613018748683
32,token-classification,udpos28,b0072947,en,hr,xlm-roberta-base,ft,82.53915910964551
33,token-classification,udpos28,b0072947,en,got,xlm-roberta-base,ft,23.357521082565206
34,token-classification,udpos28,b0072947,en,gsw,xlm-roberta-base,ft,50.62326869806094
35,token-classification,udpos28,b0072947,en,aii,xlm-roberta-base,ft,14.56953642384106
36,token-classification,udpos28,b0072947,en,sme,xlm-roberta-base,ft,39.37062937062937
37,token-classification,udpos28,b0072947,en,pcm,xlm-roberta-base,ft,44.4831672126577
38,token-classification,udpos28,b0072947,en,lv,xlm-roberta-base,ft,83.0848260448981
39,token-classification,udpos28,b0072947,en,zh,xlm-roberta-base,ft,22.525531812878583
40,token-classification,udpos28,b0072947,en,tl,xlm-roberta-base,ft,70.01862197392924
41,token-classification,udpos28,b0072947,en,bm,xlm-roberta-base,ft,30.71692107357303
42,token-classification,udpos28,b0072947,en,lt,xlm-roberta-base,ft,82.40383000167982
43,token-classification,udpos28,b0072947,en,gl,xlm-roberta-base,ft,81.91933240611962
44,token-classification,udpos28,b0072947,en,vi,xlm-roberta-base,ft,65.45378502718528
45,token-classification,udpos28,b0072947,en,el,xlm-roberta-base,ft,84.03822692151282
46,token-classification,udpos28,b0072947,en,ca,xlm-roberta-base,ft,82.1677307022635
47,token-classification,udpos28,b0072947,en,cs,xlm-roberta-base,ft,80.54774386360296
48,token-classification,udpos28,b0072947,en,myv,xlm-roberta-base,ft,48.17870675956485
49,token-classification,udpos28,b0072947,en,bho,xlm-roberta-base,ft,51.46286571642911
50,token-classification,udpos28,b0072947,en,th,xlm-roberta-base,ft,38.343338410536695
51,token-classification,udpos28,b0072947,en,mr,xlm-roberta-base,ft,82.82208588957054
52,token-classification,udpos28,b0072947,en,eu,xlm-roberta-base,ft,74.57536719455156
53,token-classification,udpos28,b0072947,en,sk,xlm-roberta-base,ft,80.3834689438492
54,token-classification,udpos28,b0072947,en,quc,xlm-roberta-base,ft,32.228205991248736
55,token-classification,udpos28,b0072947,en,yo,xlm-roberta-base,ft,24.49036974553634
56,token-classification,udpos28,b0072947,en,wbp,xlm-roberta-base,ft,33.198380566801625
57,token-classification,udpos28,b0072947,en,ta,xlm-roberta-base,ft,81.88854489164086
58,token-classification,udpos28,b0072947,en,mt,xlm-roberta-base,ft,26.858123363135554
59,token-classification,udpos28,b0072947,en,grc,xlm-roberta-base,ft,51.76961456540133
60,token-classification,udpos28,b0072947,en,is,xlm-roberta-base,ft,81.52047260609167
61,token-classification,udpos28,b0072947,en,gun,xlm-roberta-base,ft,32.62518968133536
62,token-classification,udpos28,b0072947,en,ur,xlm-roberta-base,ft,63.1838443874105
63,token-classification,udpos28,b0072947,en,ro,xlm-roberta-base,ft,81.16143797082101
64,token-classification,udpos28,b0072947,en,fa,xlm-roberta-base,ft,73.03265565054527
65,token-classification,udpos28,b0072947,en,apu,xlm-roberta-base,ft,34.80392156862745
66,token-classification,udpos28,b0072947,en,ja,xlm-roberta-base,ft,11.430144186376873
67,token-classification,udpos28,b0072947,en,hu,xlm-roberta-base,ft,81.97741194486983
