,task_type,task_name,digest,lang_train,lang_pred,model_id,model_type,score
63,token-classification,udpos28,43b3553f,en,ro,xlm-roberta-base,ft,83.69791170020025
64,token-classification,udpos28,43b3553f,en,fa,xlm-roberta-base,ft,75.67592061142496
65,token-classification,udpos28,43b3553f,en,apu,xlm-roberta-base,ft,47.05882352941176
66,token-classification,udpos28,43b3553f,en,ja,xlm-roberta-base,ft,21.338518360679025
67,token-classification,udpos28,43b3553f,en,hu,xlm-roberta-base,ft,84.59035222052067
68,token-classification,udpos28,43b3553f,en,hi,xlm-roberta-base,ft,71.9975024890734
69,token-classification,udpos28,43b3553f,en,lzh,xlm-roberta-base,ft,19.0292687402514
70,token-classification,udpos28,43b3553f,en,koi,xlm-roberta-base,ft,50.77473182359953
71,token-classification,udpos28,43b3553f,en,fo,xlm-roberta-base,ft,76.15314396176771
72,token-classification,udpos28,43b3553f,en,sa,xlm-roberta-base,ft,38.81462551602123
73,token-classification,udpos28,43b3553f,en,olo,xlm-roberta-base,ft,66.53225806451613
74,token-classification,udpos28,43b3553f,en,ar,xlm-roberta-base,ft,77.76886035313002
75,token-classification,udpos28,43b3553f,en,wo,xlm-roberta-base,ft,40.22467055519551
76,token-classification,udpos28,43b3553f,en,bg,xlm-roberta-base,ft,89.19486135843296
77,token-classification,udpos28,43b3553f,en,aqz,xlm-roberta-base,ft,34.19023136246786
78,token-classification,udpos28,43b3553f,en,mpu,xlm-roberta-base,ft,17.123287671232877
79,token-classification,udpos28,43b3553f,en,xnr,xlm-roberta-base,ft,47.215592680986475
80,token-classification,udpos28,43b3553f,en,br,xlm-roberta-base,ft,64.1873714195284
81,token-classification,udpos28,43b3553f,en,te,xlm-roberta-base,ft,85.85298196948682
82,token-classification,udpos28,43b3553f,en,yue,xlm-roberta-base,ft,37.56286822819371
83,token-classification,udpos28,43b3553f,en,cu,xlm-roberta-base,ft,49.376931512311835
84,token-classification,udpos28,43b3553f,en,krl,xlm-roberta-base,ft,69.26308985132515
85,token-classification,udpos28,43b3553f,en,hsb,xlm-roberta-base,ft,72.46646795827124
86,token-classification,udpos28,43b3553f,en,ajp,xlm-roberta-base,ft,67.9340937896071
87,token-classification,udpos28,43b3553f,en,kpv,xlm-roberta-base,ft,44.97083802312494
88,token-classification,udpos28,43b3553f,en,ga,xlm-roberta-base,ft,66.24383368569416
89,token-classification,udpos28,43b3553f,en,nyq,xlm-roberta-base,ft,50.0
90,token-classification,udpos28,43b3553f,en,myu,xlm-roberta-base,ft,27.695560253699792
91,token-classification,udpos28,43b3553f,en,gv,xlm-roberta-base,ft,41.429562803608604
92,token-classification,udpos28,43b3553f,en,sms,xlm-roberta-base,ft,36.422314430613184
93,token-classification,udpos28,43b3553f,en,af,xlm-roberta-base,ft,87.93600317996622
94,token-classification,udpos28,43b3553f,en,otk,xlm-roberta-base,ft,38.91402714932127
95,token-classification,udpos28,43b3553f,en,tpn,xlm-roberta-base,ft,38.273381294964025
