,task_type,task_name,digest,lang_train,lang_pred,model_id,model_type,score
64,token-classification,udpos28,3822decc,en,fa,xlm-roberta-base,ft,76.47645228529136
65,token-classification,udpos28,3822decc,en,apu,xlm-roberta-base,ft,27.287581699346404
66,token-classification,udpos28,3822decc,en,ja,xlm-roberta-base,ft,26.795226933731087
67,token-classification,udpos28,3822decc,en,hu,xlm-roberta-base,ft,85.86332312404288
68,token-classification,udpos28,3822decc,en,hi,xlm-roberta-base,ft,72.80075600330751
69,token-classification,udpos28,3822decc,en,lzh,xlm-roberta-base,ft,27.15386732727773
70,token-classification,udpos28,3822decc,en,koi,xlm-roberta-base,ft,46.4839094159714
71,token-classification,udpos28,3822decc,en,fo,xlm-roberta-base,ft,77.35058798260216
72,token-classification,udpos28,3822decc,en,sa,xlm-roberta-base,ft,14.22252801258109
73,token-classification,udpos28,3822decc,en,olo,xlm-roberta-base,ft,53.696236559139784
74,token-classification,udpos28,3822decc,en,ar,xlm-roberta-base,ft,79.72335001416296
75,token-classification,udpos28,3822decc,en,wo,xlm-roberta-base,ft,22.46705551955066
76,token-classification,udpos28,3822decc,en,bg,xlm-roberta-base,ft,90.43500381582294
77,token-classification,udpos28,3822decc,en,aqz,xlm-roberta-base,ft,21.85089974293059
78,token-classification,udpos28,3822decc,en,mpu,xlm-roberta-base,ft,10.273972602739725
79,token-classification,udpos28,3822decc,en,xnr,xlm-roberta-base,ft,46.141607000795545
80,token-classification,udpos28,3822decc,en,br,xlm-roberta-base,ft,58.61686975787308
81,token-classification,udpos28,3822decc,en,te,xlm-roberta-base,ft,87.1012482662968
82,token-classification,udpos28,3822decc,en,yue,xlm-roberta-base,ft,46.953585285242134
83,token-classification,udpos28,3822decc,en,cu,xlm-roberta-base,ft,46.34632638819659
84,token-classification,udpos28,3822decc,en,krl,xlm-roberta-base,ft,66.61279896574014
85,token-classification,udpos28,3822decc,en,hsb,xlm-roberta-base,ft,70.24031296572281
86,token-classification,udpos28,3822decc,en,ajp,xlm-roberta-base,ft,65.90621039290241
87,token-classification,udpos28,3822decc,en,kpv,xlm-roberta-base,ft,39.46587537091988
88,token-classification,udpos28,3822decc,en,ga,xlm-roberta-base,ft,66.58836426278286
89,token-classification,udpos28,3822decc,en,nyq,xlm-roberta-base,ft,41.02564102564102
90,token-classification,udpos28,3822decc,en,myu,xlm-roberta-base,ft,23.044397463002113
91,token-classification,udpos28,3822decc,en,gv,xlm-roberta-base,ft,23.334489937543374
92,token-classification,udpos28,3822decc,en,sms,xlm-roberta-base,ft,29.045643153526974
93,token-classification,udpos28,3822decc,en,af,xlm-roberta-base,ft,89.41667494782868
94,token-classification,udpos28,3822decc,en,otk,xlm-roberta-base,ft,37.10407239819005
95,token-classification,udpos28,3822decc,en,tpn,xlm-roberta-base,ft,25.755395683453237
96,token-classification,udpos28,3822decc,en,be,xlm-roberta-base,ft,87.8840869347989
97,token-classification,udpos28,3822decc,en,sr,xlm-roberta-base,ft,87.72436739339813
98,token-classification,udpos28,3822decc,en,mdf,xlm-roberta-base,ft,44.269903605855056
99,token-classification,udpos28,3822decc,en,hyw,xlm-roberta-base,ft,78.3467539003523
