,task_type,task_name,digest,lang_train,lang_pred,model_id,model_type,score
0,token-classification,udpos28,681fc5b9,en,en,xlm-roberta-base,ft,96.37637268585574
1,token-classification,udpos28,681fc5b9,en,nl,xlm-roberta-base,ft,89.94526836158192
2,token-classification,udpos28,681fc5b9,en,de,xlm-roberta-base,ft,89.28043793863635
3,token-classification,udpos28,681fc5b9,en,it,xlm-roberta-base,ft,86.511388616061
4,token-classification,udpos28,681fc5b9,en,fr,xlm-roberta-base,ft,87.26181703337194
5,token-classification,udpos28,681fc5b9,en,es,xlm-roberta-base,ft,89.72991531242847
6,token-classification,udpos28,681fc5b9,en,ru,xlm-roberta-base,ft,90.96916726420031
7,token-classification,udpos28,681fc5b9,en,sv,xlm-roberta-base,ft,93.96440272735322
8,token-classification,udpos28,681fc5b9,en,no,xlm-roberta-base,ft,88.92233594220349
9,token-classification,udpos28,681fc5b9,en,da,xlm-roberta-base,ft,91.57936745485384
10,token-classification,udpos28,681fc5b9,en,nds,xlm-roberta-base,ft,51.12359550561798
11,token-classification,udpos28,681fc5b9,en,akk,xlm-roberta-base,ft,7.747886241352806
12,token-classification,udpos28,681fc5b9,en,hy,xlm-roberta-base,ft,88.24515202298299
13,token-classification,udpos28,681fc5b9,en,cy,xlm-roberta-base,ft,70.31399426203379
14,token-classification,udpos28,681fc5b9,en,orv,xlm-roberta-base,ft,73.44446041097858
15,token-classification,udpos28,681fc5b9,en,sq,xlm-roberta-base,ft,79.93492407809111
16,token-classification,udpos28,681fc5b9,en,sl,xlm-roberta-base,ft,77.29121700149427
17,token-classification,udpos28,681fc5b9,en,gub,xlm-roberta-base,ft,15.45253863134658
18,token-classification,udpos28,681fc5b9,en,kmr,xlm-roberta-base,ft,70.36579892280072
19,token-classification,udpos28,681fc5b9,en,tr,xlm-roberta-base,ft,77.9879301489471
20,token-classification,udpos28,681fc5b9,en,fi,xlm-roberta-base,ft,87.3481057898499
21,token-classification,udpos28,681fc5b9,en,id,xlm-roberta-base,ft,86.47015376351305
22,token-classification,udpos28,681fc5b9,en,uk,xlm-roberta-base,ft,87.52195807471601
23,token-classification,udpos28,681fc5b9,en,pl,xlm-roberta-base,ft,86.82087409876095
24,token-classification,udpos28,681fc5b9,en,pt,xlm-roberta-base,ft,89.85967699232195
25,token-classification,udpos28,681fc5b9,en,kk,xlm-roberta-base,ft,83.16219369894982
26,token-classification,udpos28,681fc5b9,en,la,xlm-roberta-base,ft,73.77350799299305
27,token-classification,udpos28,681fc5b9,en,fro,xlm-roberta-base,ft,34.87152897799285
28,token-classification,udpos28,681fc5b9,en,bxr,xlm-roberta-base,ft,57.147129186602875
29,token-classification,udpos28,681fc5b9,en,urb,xlm-roberta-base,ft,5.0
30,token-classification,udpos28,681fc5b9,en,ko,xlm-roberta-base,ft,65.12441061684355
31,token-classification,udpos28,681fc5b9,en,et,xlm-roberta-base,ft,88.22576201973716
32,token-classification,udpos28,681fc5b9,en,hr,xlm-roberta-base,ft,87.77411376751854
33,token-classification,udpos28,681fc5b9,en,got,xlm-roberta-base,ft,9.109629339086094
34,token-classification,udpos28,681fc5b9,en,gsw,xlm-roberta-base,ft,44.94459833795014
35,token-classification,udpos28,681fc5b9,en,aii,xlm-roberta-base,ft,14.56953642384106
36,token-classification,udpos28,681fc5b9,en,sme,xlm-roberta-base,ft,22.117882117882118
37,token-classification,udpos28,681fc5b9,en,pcm,xlm-roberta-base,ft,45.89809716317
38,token-classification,udpos28,681fc5b9,en,lv,xlm-roberta-base,ft,87.19436939190767
39,token-classification,udpos28,681fc5b9,en,zh,xlm-roberta-base,ft,45.089421278908084
40,token-classification,udpos28,681fc5b9,en,tl,xlm-roberta-base,ft,71.69459962756052
41,token-classification,udpos28,681fc5b9,en,bm,xlm-roberta-base,ft,18.650075960355927
42,token-classification,udpos28,681fc5b9,en,lt,xlm-roberta-base,ft,86.95615655971778
43,token-classification,udpos28,681fc5b9,en,gl,xlm-roberta-base,ft,86.02225312934631
44,token-classification,udpos28,681fc5b9,en,vi,xlm-roberta-base,ft,66.61647846089502
45,token-classification,udpos28,681fc5b9,en,el,xlm-roberta-base,ft,87.6575843838959
46,token-classification,udpos28,681fc5b9,en,ca,xlm-roberta-base,ft,89.00657767459856
47,token-classification,udpos28,681fc5b9,en,cs,xlm-roberta-base,ft,88.22448679633531
48,token-classification,udpos28,681fc5b9,en,myv,xlm-roberta-base,ft,40.75296418530742
49,token-classification,udpos28,681fc5b9,en,bho,xlm-roberta-base,ft,50.77269317329333
50,token-classification,udpos28,681fc5b9,en,th,xlm-roberta-base,ft,54.97715258489383
51,token-classification,udpos28,681fc5b9,en,mr,xlm-roberta-base,ft,81.59509202453987
52,token-classification,udpos28,681fc5b9,en,eu,xlm-roberta-base,ft,74.20201854435054
53,token-classification,udpos28,681fc5b9,en,sk,xlm-roberta-base,ft,87.85950213485862
54,token-classification,udpos28,681fc5b9,en,quc,xlm-roberta-base,ft,20.26253786603837
55,token-classification,udpos28,681fc5b9,en,yo,xlm-roberta-base,ft,15.366230844931817
56,token-classification,udpos28,681fc5b9,en,wbp,xlm-roberta-base,ft,23.076923076923077
57,token-classification,udpos28,681fc5b9,en,ta,xlm-roberta-base,ft,83.20433436532507
58,token-classification,udpos28,681fc5b9,en,mt,xlm-roberta-base,ft,14.305066377675427
59,token-classification,udpos28,681fc5b9,en,grc,xlm-roberta-base,ft,62.42523269045604
60,token-classification,udpos28,681fc5b9,en,is,xlm-roberta-base,ft,84.6204935797348
61,token-classification,udpos28,681fc5b9,en,gun,xlm-roberta-base,ft,20.25796661608498
62,token-classification,udpos28,681fc5b9,en,ur,xlm-roberta-base,ft,67.91841145481563
63,token-classification,udpos28,681fc5b9,en,ro,xlm-roberta-base,ft,84.82502145513493
64,token-classification,udpos28,681fc5b9,en,fa,xlm-roberta-base,ft,75.91154880222336
65,token-classification,udpos28,681fc5b9,en,apu,xlm-roberta-base,ft,23.52941176470588
66,token-classification,udpos28,681fc5b9,en,ja,xlm-roberta-base,ft,29.061012856026707
67,token-classification,udpos28,681fc5b9,en,hu,xlm-roberta-base,ft,86.11217457886677
68,token-classification,udpos28,681fc5b9,en,hi,xlm-roberta-base,ft,73.01338193354596
69,token-classification,udpos28,681fc5b9,en,lzh,xlm-roberta-base,ft,21.809340306450135
70,token-classification,udpos28,681fc5b9,en,koi,xlm-roberta-base,ft,39.57091775923719
71,token-classification,udpos28,681fc5b9,en,fo,xlm-roberta-base,ft,75.92224668420769
72,token-classification,udpos28,681fc5b9,en,sa,xlm-roberta-base,ft,4.609789659917437
73,token-classification,udpos28,681fc5b9,en,olo,xlm-roberta-base,ft,54.0994623655914
74,token-classification,udpos28,681fc5b9,en,ar,xlm-roberta-base,ft,80.15768104994807
75,token-classification,udpos28,681fc5b9,en,wo,xlm-roberta-base,ft,19.766688269604664
76,token-classification,udpos28,681fc5b9,en,bg,xlm-roberta-base,ft,90.46044263546172
77,token-classification,udpos28,681fc5b9,en,aqz,xlm-roberta-base,ft,14.910025706940875
78,token-classification,udpos28,681fc5b9,en,mpu,xlm-roberta-base,ft,4.10958904109589
79,token-classification,udpos28,681fc5b9,en,xnr,xlm-roberta-base,ft,45.425616547334926
80,token-classification,udpos28,681fc5b9,en,br,xlm-roberta-base,ft,59.45561006488368
81,token-classification,udpos28,681fc5b9,en,te,xlm-roberta-base,ft,87.65603328710125
82,token-classification,udpos28,681fc5b9,en,yue,xlm-roberta-base,ft,52.723092398333094
83,token-classification,udpos28,681fc5b9,en,cu,xlm-roberta-base,ft,46.176851759545414
84,token-classification,udpos28,681fc5b9,en,krl,xlm-roberta-base,ft,65.90174531351002
85,token-classification,udpos28,681fc5b9,en,hsb,xlm-roberta-base,ft,69.7839046199702
86,token-classification,udpos28,681fc5b9,en,ajp,xlm-roberta-base,ft,65.52598225602027
87,token-classification,udpos28,681fc5b9,en,kpv,xlm-roberta-base,ft,34.226951805996116
88,token-classification,udpos28,681fc5b9,en,ga,xlm-roberta-base,ft,65.43731892569102
89,token-classification,udpos28,681fc5b9,en,nyq,xlm-roberta-base,ft,38.46153846153847
90,token-classification,udpos28,681fc5b9,en,myu,xlm-roberta-base,ft,11.839323467230443
91,token-classification,udpos28,681fc5b9,en,gv,xlm-roberta-base,ft,23.993754337265788
92,token-classification,udpos28,681fc5b9,en,sms,xlm-roberta-base,ft,26.187183033656066
93,token-classification,udpos28,681fc5b9,en,af,xlm-roberta-base,ft,89.39680015899832
94,token-classification,udpos28,681fc5b9,en,otk,xlm-roberta-base,ft,37.10407239819005
95,token-classification,udpos28,681fc5b9,en,tpn,xlm-roberta-base,ft,19.784172661870503
96,token-classification,udpos28,681fc5b9,en,be,xlm-roberta-base,ft,88.78965775668249
97,token-classification,udpos28,681fc5b9,en,sr,xlm-roberta-base,ft,88.20593643288679
98,token-classification,udpos28,681fc5b9,en,mdf,xlm-roberta-base,ft,39.84291324526954
99,token-classification,udpos28,681fc5b9,en,hyw,xlm-roberta-base,ft,78.2083543029693
100,token-classification,udpos28,681fc5b9,en,gd,xlm-roberta-base,ft,56.94103194103194
101,token-classification,udpos28,681fc5b9,en,kfm,xlm-roberta-base,ft,39.189189189189186
102,token-classification,udpos28,681fc5b9,en,he,xlm-roberta-base,ft,91.66666666666666
103,token-classification,udpos28,681fc5b9,en,ug,xlm-roberta-base,ft,76.06328333675776
104,token-classification,udpos28,681fc5b9,en,ckt,xlm-roberta-base,ft,31.429584959205393
105,token-classification,udpos28,681fc5b9,nl,en,xlm-roberta-base,ft,86.50620177494535
106,token-classification,udpos28,681fc5b9,nl,nl,xlm-roberta-base,ft,97.62535310734464
107,token-classification,udpos28,681fc5b9,nl,de,xlm-roberta-base,ft,89.0517901356268
108,token-classification,udpos28,681fc5b9,nl,it,xlm-roberta-base,ft,89.66372012534494
109,token-classification,udpos28,681fc5b9,nl,fr,xlm-roberta-base,ft,86.89335719549426
110,token-classification,udpos28,681fc5b9,nl,es,xlm-roberta-base,ft,89.65209430075532
111,token-classification,udpos28,681fc5b9,nl,ru,xlm-roberta-base,ft,88.75796980678669
112,token-classification,udpos28,681fc5b9,nl,sv,xlm-roberta-base,ft,90.5321880811122
113,token-classification,udpos28,681fc5b9,nl,no,xlm-roberta-base,ft,87.50366631161333
114,token-classification,udpos28,681fc5b9,nl,da,xlm-roberta-base,ft,89.13498952409459
115,token-classification,udpos28,681fc5b9,nl,nds,xlm-roberta-base,ft,55.3932584269663
116,token-classification,udpos28,681fc5b9,nl,akk,xlm-roberta-base,ft,30.299769408147583
117,token-classification,udpos28,681fc5b9,nl,hy,xlm-roberta-base,ft,86.04261431649509
118,token-classification,udpos28,681fc5b9,nl,cy,xlm-roberta-base,ft,69.44532993305707
119,token-classification,udpos28,681fc5b9,nl,orv,xlm-roberta-base,ft,66.53542175599942
120,token-classification,udpos28,681fc5b9,nl,sq,xlm-roberta-base,ft,77.54880694143166
121,token-classification,udpos28,681fc5b9,nl,sl,xlm-roberta-base,ft,76.47351818030882
122,token-classification,udpos28,681fc5b9,nl,gub,xlm-roberta-base,ft,27.1523178807947
123,token-classification,udpos28,681fc5b9,nl,kmr,xlm-roberta-base,ft,76.31283662477558
124,token-classification,udpos28,681fc5b9,nl,tr,xlm-roberta-base,ft,77.40498202362609
125,token-classification,udpos28,681fc5b9,nl,fi,xlm-roberta-base,ft,85.83021485935332
126,token-classification,udpos28,681fc5b9,nl,id,xlm-roberta-base,ft,85.15409924125427
127,token-classification,udpos28,681fc5b9,nl,uk,xlm-roberta-base,ft,85.34371706288792
128,token-classification,udpos28,681fc5b9,nl,pl,xlm-roberta-base,ft,86.30776591707776
129,token-classification,udpos28,681fc5b9,nl,pt,xlm-roberta-base,ft,89.1801253199188
130,token-classification,udpos28,681fc5b9,nl,kk,xlm-roberta-base,ft,83.02217036172695
131,token-classification,udpos28,681fc5b9,nl,la,xlm-roberta-base,ft,75.246510295592
132,token-classification,udpos28,681fc5b9,nl,fro,xlm-roberta-base,ft,35.13653646733494
133,token-classification,udpos28,681fc5b9,nl,bxr,xlm-roberta-base,ft,61.05462519936204
134,token-classification,udpos28,681fc5b9,nl,urb,xlm-roberta-base,ft,15.833333333333332
135,token-classification,udpos28,681fc5b9,nl,ko,xlm-roberta-base,ft,61.958076535928086
136,token-classification,udpos28,681fc5b9,nl,et,xlm-roberta-base,ft,86.7154964268931
137,token-classification,udpos28,681fc5b9,nl,hr,xlm-roberta-base,ft,87.46496290189613
138,token-classification,udpos28,681fc5b9,nl,got,xlm-roberta-base,ft,22.278878211414003
139,token-classification,udpos28,681fc5b9,nl,gsw,xlm-roberta-base,ft,43.28254847645429
140,token-classification,udpos28,681fc5b9,nl,aii,xlm-roberta-base,ft,14.348785871964681
141,token-classification,udpos28,681fc5b9,nl,sme,xlm-roberta-base,ft,41.06893106893107
142,token-classification,udpos28,681fc5b9,nl,pcm,xlm-roberta-base,ft,12.978322994354222
143,token-classification,udpos28,681fc5b9,nl,lv,xlm-roberta-base,ft,86.03689249141065
144,token-classification,udpos28,681fc5b9,nl,zh,xlm-roberta-base,ft,50.26290974763861
145,token-classification,udpos28,681fc5b9,nl,tl,xlm-roberta-base,ft,72.06703910614524
146,token-classification,udpos28,681fc5b9,nl,bm,xlm-roberta-base,ft,25.356290240902844
147,token-classification,udpos28,681fc5b9,nl,lt,xlm-roberta-base,ft,85.5954980682009
148,token-classification,udpos28,681fc5b9,nl,gl,xlm-roberta-base,ft,85.04867872044505
149,token-classification,udpos28,681fc5b9,nl,vi,xlm-roberta-base,ft,65.19447929736512
150,token-classification,udpos28,681fc5b9,nl,el,xlm-roberta-base,ft,86.23424156161042
151,token-classification,udpos28,681fc5b9,nl,ca,xlm-roberta-base,ft,88.85664538595474
152,token-classification,udpos28,681fc5b9,nl,cs,xlm-roberta-base,ft,87.22600558522366
153,token-classification,udpos28,681fc5b9,nl,myv,xlm-roberta-base,ft,46.876909913213545
154,token-classification,udpos28,681fc5b9,nl,bho,xlm-roberta-base,ft,47.156789197299325
155,token-classification,udpos28,681fc5b9,nl,th,xlm-roberta-base,ft,60.26341725651824
156,token-classification,udpos28,681fc5b9,nl,mr,xlm-roberta-base,ft,87.11656441717791
157,token-classification,udpos28,681fc5b9,nl,eu,xlm-roberta-base,ft,77.60318372035776
158,token-classification,udpos28,681fc5b9,nl,sk,xlm-roberta-base,ft,87.86755820510754
159,token-classification,udpos28,681fc5b9,nl,quc,xlm-roberta-base,ft,32.09357118815214
160,token-classification,udpos28,681fc5b9,nl,yo,xlm-roberta-base,ft,17.99522001968227
161,token-classification,udpos28,681fc5b9,nl,wbp,xlm-roberta-base,ft,45.74898785425101
162,token-classification,udpos28,681fc5b9,nl,ta,xlm-roberta-base,ft,83.97832817337462
163,token-classification,udpos28,681fc5b9,nl,mt,xlm-roberta-base,ft,18.56768716698275
164,token-classification,udpos28,681fc5b9,nl,grc,xlm-roberta-base,ft,63.020453418142566
165,token-classification,udpos28,681fc5b9,nl,is,xlm-roberta-base,ft,84.1200391508005
166,token-classification,udpos28,681fc5b9,nl,gun,xlm-roberta-base,ft,26.251896813353564
167,token-classification,udpos28,681fc5b9,nl,ur,xlm-roberta-base,ft,68.78967985951641
168,token-classification,udpos28,681fc5b9,nl,ro,xlm-roberta-base,ft,82.35720415752836
169,token-classification,udpos28,681fc5b9,nl,fa,xlm-roberta-base,ft,76.44926441712232
170,token-classification,udpos28,681fc5b9,nl,apu,xlm-roberta-base,ft,38.39869281045752
171,token-classification,udpos28,681fc5b9,nl,ja,xlm-roberta-base,ft,38.390510689679665
172,token-classification,udpos28,681fc5b9,nl,hu,xlm-roberta-base,ft,87.14586523736601
173,token-classification,udpos28,681fc5b9,nl,hi,xlm-roberta-base,ft,73.03531952952295
174,token-classification,udpos28,681fc5b9,nl,lzh,xlm-roberta-base,ft,27.03459032938802
175,token-classification,udpos28,681fc5b9,nl,koi,xlm-roberta-base,ft,49.82121573301549
176,token-classification,udpos28,681fc5b9,nl,fo,xlm-roberta-base,ft,76.33571390216399
177,token-classification,udpos28,681fc5b9,nl,sa,xlm-roberta-base,ft,28.690780420680166
178,token-classification,udpos28,681fc5b9,nl,olo,xlm-roberta-base,ft,60.68548387096774
179,token-classification,udpos28,681fc5b9,nl,ar,xlm-roberta-base,ft,79.9027476159003
180,token-classification,udpos28,681fc5b9,nl,wo,xlm-roberta-base,ft,25.772305033484557
181,token-classification,udpos28,681fc5b9,nl,bg,xlm-roberta-base,ft,89.08038667005852
182,token-classification,udpos28,681fc5b9,nl,aqz,xlm-roberta-base,ft,41.645244215938305
183,token-classification,udpos28,681fc5b9,nl,mpu,xlm-roberta-base,ft,19.863013698630137
184,token-classification,udpos28,681fc5b9,nl,xnr,xlm-roberta-base,ft,43.15831344470963
185,token-classification,udpos28,681fc5b9,nl,br,xlm-roberta-base,ft,62.00348156353853
186,token-classification,udpos28,681fc5b9,nl,te,xlm-roberta-base,ft,85.99167822468793
187,token-classification,udpos28,681fc5b9,nl,yue,xlm-roberta-base,ft,54.46903290702687
188,token-classification,udpos28,681fc5b9,nl,cu,xlm-roberta-base,ft,40.763632738510616
189,token-classification,udpos28,681fc5b9,nl,krl,xlm-roberta-base,ft,72.0426632191338
190,token-classification,udpos28,681fc5b9,nl,hsb,xlm-roberta-base,ft,69.94225037257824
191,token-classification,udpos28,681fc5b9,nl,ajp,xlm-roberta-base,ft,66.79340937896072
192,token-classification,udpos28,681fc5b9,nl,kpv,xlm-roberta-base,ft,41.491865343292744
193,token-classification,udpos28,681fc5b9,nl,ga,xlm-roberta-base,ft,64.02004541539425
194,token-classification,udpos28,681fc5b9,nl,nyq,xlm-roberta-base,ft,39.743589743589745
195,token-classification,udpos28,681fc5b9,nl,myu,xlm-roberta-base,ft,24.312896405919663
196,token-classification,udpos28,681fc5b9,nl,gv,xlm-roberta-base,ft,36.43303261623873
197,token-classification,udpos28,681fc5b9,nl,sms,xlm-roberta-base,ft,34.11710465652374
198,token-classification,udpos28,681fc5b9,nl,af,xlm-roberta-base,ft,88.21425022359138
199,token-classification,udpos28,681fc5b9,nl,otk,xlm-roberta-base,ft,26.244343891402718
200,token-classification,udpos28,681fc5b9,nl,tpn,xlm-roberta-base,ft,29.35251798561151
201,token-classification,udpos28,681fc5b9,nl,be,xlm-roberta-base,ft,86.91606295278541
202,token-classification,udpos28,681fc5b9,nl,sr,xlm-roberta-base,ft,89.05524910253042
203,token-classification,udpos28,681fc5b9,nl,mdf,xlm-roberta-base,ft,44.76972509817922
204,token-classification,udpos28,681fc5b9,nl,hyw,xlm-roberta-base,ft,79.50427780573729
205,token-classification,udpos28,681fc5b9,nl,gd,xlm-roberta-base,ft,57.64742014742015
206,token-classification,udpos28,681fc5b9,nl,kfm,xlm-roberta-base,ft,41.891891891891895
207,token-classification,udpos28,681fc5b9,nl,he,xlm-roberta-base,ft,91.66666666666666
208,token-classification,udpos28,681fc5b9,nl,ug,xlm-roberta-base,ft,75.7653585370865
209,token-classification,udpos28,681fc5b9,nl,ckt,xlm-roberta-base,ft,33.59347286271728
210,token-classification,udpos28,681fc5b9,de,en,xlm-roberta-base,ft,19.92336660258605
211,token-classification,udpos28,681fc5b9,de,nl,xlm-roberta-base,ft,89.12870762711864
212,token-classification,udpos28,681fc5b9,de,de,xlm-roberta-base,ft,97.50177310866276
213,token-classification,udpos28,681fc5b9,de,it,xlm-roberta-base,ft,82.36284551704784
214,token-classification,udpos28,681fc5b9,de,fr,xlm-roberta-base,ft,81.83598273502474
215,token-classification,udpos28,681fc5b9,de,es,xlm-roberta-base,ft,87.24422064545662
216,token-classification,udpos28,681fc5b9,de,ru,xlm-roberta-base,ft,88.13459687473757
217,token-classification,udpos28,681fc5b9,de,sv,xlm-roberta-base,ft,91.53634995129727
218,token-classification,udpos28,681fc5b9,de,no,xlm-roberta-base,ft,85.32086015529724
219,token-classification,udpos28,681fc5b9,de,da,xlm-roberta-base,ft,88.63613688516412
220,token-classification,udpos28,681fc5b9,de,nds,xlm-roberta-base,ft,24.60674157303371
221,token-classification,udpos28,681fc5b9,de,akk,xlm-roberta-base,ft,18.524212144504226
222,token-classification,udpos28,681fc5b9,de,hy,xlm-roberta-base,ft,83.95977974622934
223,token-classification,udpos28,681fc5b9,de,cy,xlm-roberta-base,ft,66.84730634364043
224,token-classification,udpos28,681fc5b9,de,orv,xlm-roberta-base,ft,48.01264549504239
225,token-classification,udpos28,681fc5b9,de,sq,xlm-roberta-base,ft,84.81561822125813
226,token-classification,udpos28,681fc5b9,de,sl,xlm-roberta-base,ft,73.49327577619127
227,token-classification,udpos28,681fc5b9,de,gub,xlm-roberta-base,ft,17.880794701986755
228,token-classification,udpos28,681fc5b9,de,kmr,xlm-roberta-base,ft,63.63330341113106
229,token-classification,udpos28,681fc5b9,de,tr,xlm-roberta-base,ft,73.28839239856188
230,token-classification,udpos28,681fc5b9,de,fi,xlm-roberta-base,ft,82.47908169701047
231,token-classification,udpos28,681fc5b9,de,id,xlm-roberta-base,ft,81.17907741892164
232,token-classification,udpos28,681fc5b9,de,uk,xlm-roberta-base,ft,87.57465745403444
233,token-classification,udpos28,681fc5b9,de,pl,xlm-roberta-base,ft,85.83095477718567
234,token-classification,udpos28,681fc5b9,de,pt,xlm-roberta-base,ft,87.05321683876092
235,token-classification,udpos28,681fc5b9,de,kk,xlm-roberta-base,ft,78.83313885647608
236,token-classification,udpos28,681fc5b9,de,la,xlm-roberta-base,ft,65.47974484118677
237,token-classification,udpos28,681fc5b9,de,fro,xlm-roberta-base,ft,11.959903214656066
238,token-classification,udpos28,681fc5b9,de,bxr,xlm-roberta-base,ft,43.58054226475279
239,token-classification,udpos28,681fc5b9,de,urb,xlm-roberta-base,ft,9.166666666666666
240,token-classification,udpos28,681fc5b9,de,ko,xlm-roberta-base,ft,60.69542797605383
241,token-classification,udpos28,681fc5b9,de,et,xlm-roberta-base,ft,84.69316653432938
242,token-classification,udpos28,681fc5b9,de,hr,xlm-roberta-base,ft,87.63396537510305
243,token-classification,udpos28,681fc5b9,de,got,xlm-roberta-base,ft,4.33418317317121
244,token-classification,udpos28,681fc5b9,de,gsw,xlm-roberta-base,ft,47.50692520775623
245,token-classification,udpos28,681fc5b9,de,aii,xlm-roberta-base,ft,15.011037527593817
246,token-classification,udpos28,681fc5b9,de,sme,xlm-roberta-base,ft,19.03096903096903
247,token-classification,udpos28,681fc5b9,de,pcm,xlm-roberta-base,ft,22.924653237610652
248,token-classification,udpos28,681fc5b9,de,lv,xlm-roberta-base,ft,82.50775542880015
249,token-classification,udpos28,681fc5b9,de,zh,xlm-roberta-base,ft,58.53857341494989
250,token-classification,udpos28,681fc5b9,de,tl,xlm-roberta-base,ft,61.82495344506518
251,token-classification,udpos28,681fc5b9,de,bm,xlm-roberta-base,ft,16.335093684438977
252,token-classification,udpos28,681fc5b9,de,lt,xlm-roberta-base,ft,81.52192172014111
253,token-classification,udpos28,681fc5b9,de,gl,xlm-roberta-base,ft,79.1029207232267
254,token-classification,udpos28,681fc5b9,de,vi,xlm-roberta-base,ft,58.854035968214134
255,token-classification,udpos28,681fc5b9,de,el,xlm-roberta-base,ft,88.14558763725091
256,token-classification,udpos28,681fc5b9,de,ca,xlm-roberta-base,ft,84.99709808473592
257,token-classification,udpos28,681fc5b9,de,cs,xlm-roberta-base,ft,86.95556317671843
258,token-classification,udpos28,681fc5b9,de,myv,xlm-roberta-base,ft,30.05133846718005
259,token-classification,udpos28,681fc5b9,de,bho,xlm-roberta-base,ft,43.88597149287322
260,token-classification,udpos28,681fc5b9,de,th,xlm-roberta-base,ft,60.96675925096318
261,token-classification,udpos28,681fc5b9,de,mr,xlm-roberta-base,ft,87.73006134969326
262,token-classification,udpos28,681fc5b9,de,eu,xlm-roberta-base,ft,73.90251907770575
263,token-classification,udpos28,681fc5b9,de,sk,xlm-roberta-base,ft,86.3932973495529
264,token-classification,udpos28,681fc5b9,de,quc,xlm-roberta-base,ft,20.02692696061932
265,token-classification,udpos28,681fc5b9,de,yo,xlm-roberta-base,ft,16.322226908477436
266,token-classification,udpos28,681fc5b9,de,wbp,xlm-roberta-base,ft,20.242914979757085
267,token-classification,udpos28,681fc5b9,de,ta,xlm-roberta-base,ft,83.0108359133127
268,token-classification,udpos28,681fc5b9,de,mt,xlm-roberta-base,ft,14.214756615190103
269,token-classification,udpos28,681fc5b9,de,grc,xlm-roberta-base,ft,52.60700843229365
270,token-classification,udpos28,681fc5b9,de,is,xlm-roberta-base,ft,82.11181282188717
271,token-classification,udpos28,681fc5b9,de,gun,xlm-roberta-base,ft,19.726858877086496
272,token-classification,udpos28,681fc5b9,de,ur,xlm-roberta-base,ft,67.42536809401594
273,token-classification,udpos28,681fc5b9,de,ro,xlm-roberta-base,ft,80.8562982740536
