,task_type,task_name,digest,lang_train,lang_pred,model_id,model_type,score
0,token-classification,udpos28,1d6ca3e8,en,en,xlm-roberta-base,ft,96.04587470044505
1,token-classification,udpos28,1d6ca3e8,en,nl,xlm-roberta-base,ft,90.39106638418079
2,token-classification,udpos28,1d6ca3e8,en,de,xlm-roberta-base,ft,88.61395391709789
3,token-classification,udpos28,1d6ca3e8,en,it,xlm-roberta-base,ft,87.77419203966139
4,token-classification,udpos28,1d6ca3e8,en,fr,xlm-roberta-base,ft,87.44078324034109
5,token-classification,udpos28,1d6ca3e8,en,es,xlm-roberta-base,ft,90.27924010070954
6,token-classification,udpos28,1d6ca3e8,en,ru,xlm-roberta-base,ft,90.96012351181825
7,token-classification,udpos28,1d6ca3e8,en,sv,xlm-roberta-base,ft,93.9520056672275
8,token-classification,udpos28,1d6ca3e8,en,no,xlm-roberta-base,ft,89.553713394773
9,token-classification,udpos28,1d6ca3e8,en,da,xlm-roberta-base,ft,91.56939040207523
10,token-classification,udpos28,1d6ca3e8,en,nds,xlm-roberta-base,ft,57.41573033707865
11,token-classification,udpos28,1d6ca3e8,en,akk,xlm-roberta-base,ft,26.41045349730976
12,token-classification,udpos28,1d6ca3e8,en,hy,xlm-roberta-base,ft,88.48455829542733
13,token-classification,udpos28,1d6ca3e8,en,cy,xlm-roberta-base,ft,70.62480076506216
14,token-classification,udpos28,1d6ca3e8,en,orv,xlm-roberta-base,ft,76.54835464865641
15,token-classification,udpos28,1d6ca3e8,en,sq,xlm-roberta-base,ft,82.32104121475055
16,token-classification,udpos28,1d6ca3e8,en,sl,xlm-roberta-base,ft,78.9556699319276
17,token-classification,udpos28,1d6ca3e8,en,gub,xlm-roberta-base,ft,17.218543046357617
18,token-classification,udpos28,1d6ca3e8,en,kmr,xlm-roberta-base,ft,76.89631956912028
19,token-classification,udpos28,1d6ca3e8,en,tr,xlm-roberta-base,ft,79.12044170518747
20,token-classification,udpos28,1d6ca3e8,en,fi,xlm-roberta-base,ft,87.15889500904007
