# Adlam alphabet
Karamanli Turkish	extinct

# Chinese characters
Sinitic	
Guanhua	Mandarin
Yue	
Cantonese	
Wu	
Shanghainese	
Min	
Taiwanese	
Xiang	
Hakka	
Gan	
Jin	
Huizhou	
Ping	
Dong	
Bai	obsolete
Miao	obsolete
Zhuang	
Chinese
Classical Chinese

# Hangul
Korean	
Cia-Cia	
Jeju	

# Hebrew
Aramaic	and other writing systems
Bukhori	
Hebrew	
Hulaula	
Jewish Neo-Aramaic dialect of Urmia	
Jewish Neo-Aramaic dialect of Zakho	
Judeo-Iraqi Arabic	
Judeo-Moroccan	
Judeo-Tripolitanian Arabic	
Judeo-Tunisian Arabic	
Judeo-Portuguese	
Judeo-Spanish	originally [[Rashi script]], and other writing systems
Judeo-Yemenite	
Lishanid Noshan	
Iranian	
Shuadit	
Yiddish	
Zarphatic	

# Old Italic
Italic	extinct

# Kana
Japanese	plus [[kanji]]
Ryukyuan	plus [[kanji]]
Ainu	slightly modified variety of [[katakana]], which enable the ability to represent final consonants
# Kharosthi
Kharosthi	extinct

# Khitan large
Khitan	extinct

# Khitan small
Khitan	extinct

# Latin
Acehnese	also uses the [[Arabic script]]
Afar	formerly used the [[Arabic script]]
Afrikaans	
Albanian	
Aragonese	
Asturian	
Aymara	
Azeri	formerly used the [[Cyrillic script]]
Bai	
Banjar	also uses the [[Arabic script]]
Basque	
Betawi	
Berber	Algeria, Morocco, Mali, Niger
Tamazight	Algeria, Morocco, Mali, Niger
Bislama	
Boholano	formerly used [[Baybayin]]
Bosnian	also uses the [[Cyrillic script]]
Breton	
Catalan	
Cebuano	
Chamorro	
Cherokee	also uses the [[Cherokee script]]
Cornish	
Corsican	
Croatian	
Cree	
Czech	
Danish	
Dayak	
Dutch	
English	
Esperanto	
Estonian	
Faroese	
Fijian	
Finnish	
French	
Fula (Pulaar)	
Scottish Gaelic
Galician	
German	
Gikuyu	
Guaraní	
Haitian Creole	
Hausa	formerly used the [[Arabic script]]
Hawaiian	
Hiri Motu	
Hmong	
Hungarian	
Icelandic	
Ido	
Igbo	
Ilocano	formerly used [[Baybayin]]
Indonesian	
Interlingua	
Innu-aimun	
Irish	
Italian	
Javanese	also uses the [[Javanese script]]
Judeo-Spanish	also used other scripts
Kabylian Berber	
Khasi	also uses the [[Bengali alphabet|Bengali script]]
Kinyarwanda	
Klingon language	also uses its own fictional writing system.
Kirundi	
Kongo	
Konkani	
Kurdish	Kurmanji
Kurmanji
Latin	
Latvian	
Laz	
Leonese	
Lingala	
Lithuanian	
Luganda	
Luxembourgish	
Māori	
Malagasy	
Malay	also uses the [[Arabic script]]
Maltese	
Manx	
Marshallese	
Mauritian Creole	
Minangkabau	also uses the [[Arabic script]]
Moldovan	also uses the [[Cyrillic script]]
Montenegrin	also uses the [[Cyrillic script]]
Nahuatl	after the Spanish conquest
Nauruan	
Navaho or Navajo	
Nias	
Ndebele (Northern)	
Ndebele (Southern)	
North Frisian	
Norwegian	
Occitan	
Oromo	formerly used the [[Ge'ez alphabet|Ge'ez script]]
Palauan	
Picard	
Polish	
Portuguese	
Quechua	
Rohingya	formerly used the [[Arabic script]]
Romanian	formerly used the [[Romanian Cyrillic alphabet]]
Romansh	
Samoan	
Sasak	
Saterland Frisian	
Scots	
Serbian	officially uses the [[Cyrillic script]]
Seychellois creole	
Shona	
Slovak	
Slovene	
Somali	formerly used the [[Arabic script]] and the [[Osmanya script]]
Sotho (Northern)	
Sotho (Southern)	
Spanish	
Sundanese	also uses the [[Sundanese script]]
Swahili	
Swedish	
Swati	
Tagalog	formerly used [[Baybayin]]
Tahitian	
Tatar	formerly used the [[Arabic script]], then [[Janalif]], and then the [[Cyrillic script]]
Tetum	
Tok Pisin	
Tongan	
Tsonga	
Tswana	
Tunisian Arabic	also uses the [[Arabic script]]
Turkish	
Turkmen	formerly used the [[Cyrillic script]]
Turoyo	formerly used the [[Syriac alphabet]]
Uzbek	formerly used the [[Arabic script]] and then the [[Cyrillic script]]; the latter still in widespread use
Venda	
Vietnamese	formerly used [[Han-Nom]]
Vastese	
Volapük	
Võro	
Walloon	
Welsh	
West Frisian	
Wolof	
Xhosa	
Yoruba	
Zazaki	
Zhuang	
Zulu	
Low Saxon
Makurap
Skolt Sami
North Sami
Swiss German
Warlpiri
Naija
Tupinamba
Karelian
Bambara
Slovenian
Old French
Upper Sorbian
Beja
Munduruku
Apurina
Yupik
Kiche
Gothic
Mbya Guarani
Nayini
Guajajara
Livvi
Akkadian
Kaapor
Akuntsu

== [[Meetei Mayek]] ==
Meetei language	

# Mesoamerican writing systems|Mesoamerican scripts

# Epi-Olmec
Olmec	extinct

# Maya
Achi	
Akatek	
Awakatek	
Chicomuceltec	extinct
Chontal	
Ch'ol	
Ch'olti'	extinct
Ch'orti'	
Chuj	
Huastec	
Itza'	
Ixil	
Jakaltek	
Kaqchikel	
Kaqchikel–K'iche'	
K'iche'	
Lacandon	
Mam	
Mocho'	
Mopan	
Poqomam	
Poqomchi'	
Q'anjob'al	
Q'eqchi'	
Sakapultek	
Sipakapense	
Tektitek	
Tojolab'al	
Tzeltal	
Tzotzil	
Tz'utujil	
Yucatec	

# Mixtec writing|Mixtec
Trique	
Cuicatec	
Mixtec	

# Olmec
Olmec	extinct

# Zapotec writing|Zapotec

Aloápam Zapotec	
Amatlán Zapotec	
Asunción Mixtepec Zapotec	
Ayoquezco Zapotec	
Cajonos Zapotec	
Chichicápam Zapotec	
Choápam Zapotec	
Coatecas Altas Zapotec	
Santo Domingo Coatlán Zapotec	
El Alto Zapotec	
Elotepec Zapotec	
Guevea Zapotec	
Güilá Zapotec	
Isthmus Zapotec	
Lachiguiri Zapotec	
Lachixío Zapotec	
Lapaguía Zapotec	
Loxicha Zapotec	
Mazaltepec Zapotec	
Miahuatlán Zapotec	
Mitla Zapotec	
San Juan Mixtepec Zapotec	
Ocotlán Zapotec	
Ozolotepec Zapotec	
Petapa Zapotec	
Quiavicuzas Zapotec	
Quioquitani Zapotec	
Rincón Zapotec	
San Agustín Mixtepec Zapotec	
San Baltázar Loxicha Zapotec	
Guelavía Zapotec	
Quiatoni Zapotec	
San Vicente Zapotec	
Santa Catarina Albarradas Zapotec	
Yatzeche Zapotec	
Quiegolani Zapotec	
Xánica Zapotec	
Albarradas Zapotec	
Ixtlán Zapotec	
Yavesía Zapotec	
Rincón Zapotec	
Tabaá Zapotec	
Tejalapan Zapotec	
Texmelucan Zapotec	
Tilquiapan Zapotec	
Tlacolulita Zapotec	
Totomachapan Zapotec	
Xadani Zapotec	
Xanaguía Zapotec	
Yalálag Zapotec	
Ixtlán Zapotec	
Yatee Zapotec	
Yatzachi Zapotec	
San Bartolo Yautepec Zapotec	
Zaachila Zapotec	
Zaniza Zapotec	
Zoogocho Zapotec	

# Mesoamerican writing systems|Takalik Abaj and Kaminaljuyú scripts

Mixe-Zoquean	
Proto-Maya	


# Old Uyghur alphabet

# Manchu
Manchu	
Xibe	

==[[Munda languages|Munda]] scripts==

# Sorang Sompeng
Sora	

# Santali alphabet|Ol Cemet'
Santali	

# Warang Citi
Ho	

# N'Ko
N'ko	

# Naxi
Naxi	obsolete

# Nsibidi
Ekoi	
Igbo	
Ibibio	

# Ogham
Primitive Irish	
Pictish	
Old Welsh	
British Latin	

# Pahawh Hmong
Hmong	

# Old Permic alphabet

# Runic|Runic
Proto-Norse	inscriptions
Old Norse	also [[Latin script]]
Old Danish	also [[Latin script]]
Old English/Anglo-Saxon	also [[Latin script]]
Old Frisian	also [[Latin script]]
Old High German	also [[Latin script]]
Old Dutch	also [[Latin script]]

# Old Turkic
Old Turkic language	extinct
Old Turkish

# Tifinagh
Tuareg	

# Yi
Nuosu	
