ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,classification_wals,classification_ethnologue,classification_glottolog,recently_extinct,long_extinct,year_of_extinction,code_wals,code_iso,transcribers
PARAKANA,PARAKANA,para1312,Parakanã,pak,South America,-4.75,-50.0,Tupian,Tup.TUPI-GUARANI,"Tupian,Tupi-Guarani,Tenetehara,Akwawa","Tupian,Maweti-Guarani,Aweti-Guarani,Tupi-Guarani,Tupi-GuaraniSubgroupIV,Tupi-GuaraniSubgroupIV.A",False,False,,,pak,Cecil H. Brown
PARANAWAT,PARANAWAT,para1313,Paranawát,paf,South America,-11.19,-62.74,Tupian,Tup.TUPI-GUARANI,"Tupian,Tupi-Guarani,Kawahib,Parintintin","Tupian,Maweti-Guarani,Aweti-Guarani,Tupi-Guarani,Tupi-GuaraniSubgroupVI",True,False,,,paf,Julia Bischoffberger
PARAN_TAROKO,PARAN_TAROKO,taro1264,Seediq,trv,Papunesia,24.17,121.42,Austronesian,An.ATAYALIC,"Austronesian,Atayalic","Austronesian,Atayalic",False,False,,see,trv,Sebastian Sauppe
PARAUJANO,PARAUJANO,para1316,Paraujano,pbg,South America,10.83,-71.92,Arawakan,Arw.CARIBBEAN_ARAWAKAN,"Maipurean,Northern,Maritime,Ta-Maipurean","Arawakan,NorthernMaipuran,CaribbeanArawakan,Guajiro-Paraujano",False,False,,,pbg,Viveka Velupillai
PARAWEN,PARAWEN,para1307,Parawen,prw,Papunesia,-5.0,145.42,Nuclear Trans New Guinea,TNG.MADANG,"Trans-NewGuinea,Madang,Croisilles,Pihom,Numugenan","Nuclear_Trans_New_Guinea,Madang,Croisilles,Numugenan,Yarawata-Parawen-Ukuriguma",False,False,,,prw,Cecil H. Brown
PARDHI,PARDHI,pard1243,Pardhi,pcl,Eurasia,20.0,77.12,Indo-European,IE.INDIC,"Indo-European,Indo-Iranian,Indo-Aryan,IntermediateDivisions,Western,Bhil","Indo-European,Indo-Iranian,Indo-Aryan,Indo-AryanCentralzone,SubcontinentalCentralIndo-Aryan,Bhil",False,False,,,pcl,Tessa de Mol-van Valen
PARE,PARE,asut1235,Asu (Tanzania),asa,Africa,-4.0,36.5,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Central,G,Shambala(G.22)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NortheastSavannaBantu,NortheastCoastalBantu,Pare-Taveta",False,False,,pre,asa,Ann-Katrin Wett
PARENGA,PARENGA,pare1266,Gorum-Parenga,pcj,Eurasia,19.07,83.97,Austroasiatic,AuA.MUNDA,"Austro-Asiatic,Munda,SouthMunda,KoraputMunda,Sora-Juray-Gorum,Gorum","Austroasiatic,Mundaic,SouthMunda,Sora-Juray-Gorum",True,False,,,pcj,Julia Bischoffberger
PARESI,PARESI,pare1272,Parecís,pab,South America,-14.0,-57.0,Arawakan,Arw.CENTRAL_ARAWAKAN,"Maipurean,Southern,Central,Paresi","Arawakan,CentralMaipuran,Paresi-Saraveka-Saluma",False,False,,prc,pab,
PARE_2,PARE_2,asut1235,Asu (Tanzania),asa,Africa,-4.0,36.5,Atlantic-Congo,NC.BANTOID,"Niger-Congo,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern,NarrowBantu,Central,G,Shambala(G.22)","Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,SouthernBantoid,NarrowBantu,EastBantu,NortheastSavannaBantu,NortheastCoastalBantu,Pare-Taveta",False,False,,pre,asa,Ann-Katrin Wett
